year,duration,duration_secs,magnitude,saros,gamma,latitude,longitude,path_width_km
-1565,05m05s,305.0,1.06532,20,0.29236,35.8N,31.7W,223.20000000
-1546,04m13s,253.1,1.04468,30,-0.38142,1.7S,51.5W,160.40000000
-477,04m46s,286.1,1.0578,47,-0.80588,35.8S,117.8W,320.80000000
63,06m22s,381.9,1.07024,75,-0.0563,12.8N,78.6W,229.00000000
82,03m27s,207.1,1.047,85,0.61963,53.0N,70.7W,199.30000000
603,04m33s,273.0,1.06705,103,0.68598,56.4N,29.3W,301.00000000
1654,02m16s,135.7,1.02846,120,0.49623,41.7N,42.5E,110.30000000
1673,06m15s,375.1,1.07313,130,-0.19458,4.6N,40.6E,241.60000000
1692,04m10s,250.3,1.05464,140,-0.86491,39.8S,8.6E,353.10000000
2026,02m18s,138.2,1.03863,126,0.89774,65.2N,25.2W,293.90000000
2045,06m06s,365.7,1.07735,136,0.21161,25.9N,78.5W,255.60000000
2064,04m28s,267.6,1.04946,146,-0.46522,10.9S,96.0W,183.70000000
2743,05m56s,356.1,1.06226,157,-0.33291,4.0S,146.9E,216.20000000
2762,06m11s,370.6,1.07656,167,0.33657,34.2N,148.5E,263.00000000
