date,month,season,type,gap_years
-1999-06-12,June,Summer,Total,
-1999-12-05,December,Winter,Annular,0.5
-1998-06-01,June,Summer,Total,0.5
-1998-11-25,November,Autumn,Annular,0.5
-1997-04-22,April,Spring,Partial,0.4
-1997-05-22,May,Spring,Partial,0.1
-1997-10-16,October,Autumn,Partial,0.4
-1997-11-14,November,Autumn,Partial,0.1
-1996-04-10,April,Spring,Annular,0.4
-1996-10-04,October,Autumn,Total,0.5
-1995-03-30,March,Spring,Annular,0.5
-1995-09-24,September,Autumn,Annular,0.5
-1994-03-20,March,Spring,Total,0.5
-1994-09-13,September,Autumn,Annular,0.5
-1993-02-08,February,Winter,Partial,0.4
-1993-03-09,March,Spring,Partial,0.1
-1993-08-03,August,Summer,Partial,0.4
-1992-01-29,January,Winter,Total,0.5
-1992-07-23,July,Summer,Hybrid,0.5
-1991-01-17,January,Winter,Annular,0.5
-1991-07-12,July,Summer,Total,0.5
-1990-01-06,January,Winter,Partial,0.5
-1990-07-02,July,Summer,Total,0.5
-1990-11-26,November,Autumn,Partial,0.4
-1989-05-23,May,Spring,Hybrid,0.5
-1989-11-16,November,Autumn,Hybrid,0.5
-1988-05-11,May,Spring,Annular,0.5
-1988-11-04,November,Autumn,Total,0.5
-1987-05-01,May,Spring,Annular,0.5
-1987-10-25,October,Autumn,Total,0.5
-1986-03-21,March,Spring,Partial,0.4
-1986-04-20,April,Spring,Partial,0.1
-1986-09-15,September,Autumn,Partial,0.4
-1985-03-11,March,Spring,Total,0.5
-1985-09-04,September,Autumn,Annular,0.5
-1984-02-28,February,Winter,Total,0.5
-1984-08-23,August,Summer,Annular,0.5
-1983-02-17,February,Winter,Total,0.5
-1983-08-12,August,Summer,Annular,0.5
-1982-01-08,January,Winter,Partial,0.4
-1982-07-03,July,Summer,Partial,0.5
-1982-08-02,August,Summer,Partial,0.1
-1982-12-28,December,Winter,Annular,0.4
-1981-06-23,June,Summer,Total,0.5
-1981-12-17,December,Winter,Annular,0.5
-1980-06-12,June,Summer,Total,0.5
-1980-12-05,December,Winter,Annular,0.5
-1979-05-02,May,Spring,Partial,0.4
-1979-06-01,June,Summer,Partial,0.1
-1979-10-26,October,Autumn,Partial,0.4
-1979-11-25,November,Autumn,Partial,0.1
-1978-04-21,April,Spring,Annular,0.4
-1978-10-16,October,Autumn,Total,0.5
-1977-04-11,April,Spring,Annular,0.5
-1977-10-05,October,Autumn,Annular,0.5
-1976-03-30,March,Spring,Total,0.5
-1976-09-23,September,Autumn,Annular,0.5
-1975-02-18,February,Winter,Partial,0.4
-1975-03-20,March,Spring,Partial,0.1
-1975-08-14,August,Summer,Partial,0.4
-1974-02-08,February,Winter,Total,0.5
-1974-08-03,August,Summer,Hybrid,0.5
-1973-01-28,January,Winter,Annular,0.5
-1973-07-24,July,Summer,Total,0.5
-1972-01-17,January,Winter,Partial,0.5
-1972-07-12,July,Summer,Total,0.5
-1972-12-07,December,Winter,Partial,0.4
-1971-06-02,June,Summer,Annular,0.5
-1971-11-26,November,Autumn,Hybrid,0.5
-1970-05-23,May,Spring,Annular,0.5
-1970-11-16,November,Autumn,Total,0.5
-1969-05-12,May,Spring,Annular,0.5
-1969-11-05,November,Autumn,Total,0.5
-1968-03-31,March,Spring,Partial,0.4
-1968-04-30,April,Spring,Partial,0.1
-1968-09-25,September,Autumn,Partial,0.4
-1967-03-21,March,Spring,Total,0.5
-1967-09-14,September,Autumn,Annular,0.5
-1966-03-11,March,Spring,Total,0.5
-1966-09-03,September,Autumn,Annular,0.5
-1965-02-28,February,Winter,Total,0.5
-1965-08-23,August,Summer,Annular,0.5
-1964-01-19,January,Winter,Partial,0.4
-1964-07-14,July,Summer,Partial,0.5
-1964-08-12,August,Summer,Partial,0.1
-1963-01-07,January,Winter,Annular,0.4
-1963-07-03,July,Summer,Total,0.5
-1963-12-27,December,Winter,Annular,0.5
-1962-06-23,June,Summer,Total,0.5
-1962-12-16,December,Winter,Annular,0.5
-1961-06-12,June,Summer,Partial,0.5
-1961-11-07,November,Autumn,Partial,0.4
-1961-12-06,December,Winter,Partial,0.1
-1960-05-02,May,Spring,Annular,0.4
-1960-10-26,October,Autumn,Total,0.5
-1959-04-21,April,Spring,Annular,0.5
-1959-10-16,October,Autumn,Annular,0.5
-1958-04-10,April,Spring,Total,0.5
-1958-10-05,October,Autumn,Annular,0.5
-1957-03-02,March,Spring,Partial,0.4
-1957-03-31,March,Spring,Partial,0.1
-1957-08-25,August,Summer,Partial,0.4
-1957-09-24,September,Autumn,Partial,0.1
-1956-02-19,February,Winter,Total,0.4
-1956-08-13,August,Summer,Hybrid,0.5
-1955-02-08,February,Winter,Annular,0.5
-1955-08-03,August,Summer,Total,0.5
-1954-01-28,January,Winter,Annular,0.5
-1954-07-24,July,Summer,Total,0.5
-1954-12-18,December,Winter,Partial,0.4
-1953-06-14,June,Summer,Partial,0.5
-1953-12-07,December,Winter,Hybrid,0.5
-1952-06-02,June,Summer,Annular,0.5
-1952-11-26,November,Autumn,Total,0.5
-1951-05-22,May,Spring,Annular,0.5
-1951-11-16,November,Autumn,Total,0.5
-1950-04-12,April,Spring,Partial,0.4
-1950-05-11,May,Spring,Partial,0.1
-1950-10-06,October,Autumn,Partial,0.4
-1949-04-01,April,Spring,Total,0.5
-1949-09-26,September,Autumn,Annular,0.5
-1948-03-21,March,Spring,Total,0.5
-1948-09-14,September,Autumn,Annular,0.5
-1947-03-11,March,Spring,Total,0.5
-1947-09-03,September,Autumn,Annular,0.5
-1946-01-29,January,Winter,Partial,0.4
-1946-07-25,July,Summer,Partial,0.5
-1946-08-23,August,Summer,Partial,0.1
-1945-01-18,January,Winter,Annular,0.4
-1945-07-15,July,Summer,Total,0.5
-1944-01-07,January,Winter,Annular,0.5
-1944-07-03,July,Summer,Hybrid,0.5
-1944-12-27,December,Winter,Annular,0.5
-1943-06-22,June,Summer,Partial,0.5
-1943-11-17,November,Autumn,Partial,0.4
-1943-12-16,December,Winter,Partial,0.1
-1942-05-13,May,Spring,Annular,0.4
-1942-11-07,November,Autumn,Hybrid,0.5
-1941-05-02,May,Spring,Hybrid,0.5
-1941-10-27,October,Autumn,Annular,0.5
-1940-04-21,April,Spring,Total,0.5
-1940-10-15,October,Autumn,Annular,0.5
-1939-03-12,March,Spring,Partial,0.4
-1939-04-10,April,Spring,Partial,0.1
-1939-09-04,September,Autumn,Partial,0.4
-1939-10-04,October,Autumn,Partial,0.1
-1938-03-02,March,Spring,Total,0.4
-1938-08-25,August,Summer,Hybrid,0.5
-1937-02-19,February,Winter,Annular,0.5
-1937-08-14,August,Summer,Total,0.5
-1936-02-08,February,Winter,Annular,0.5
-1936-08-03,August,Summer,Total,0.5
-1936-12-28,December,Winter,Partial,0.4
-1935-06-24,June,Summer,Partial,0.5
-1935-12-18,December,Winter,Hybrid,0.5
-1934-06-13,June,Summer,Annular,0.5
-1934-12-07,December,Winter,Total,0.5
-1933-06-02,June,Summer,Annular,0.5
-1933-11-27,November,Autumn,Total,0.5
-1932-04-22,April,Spring,Partial,0.4
-1932-05-21,May,Spring,Partial,0.1
-1932-10-17,October,Autumn,Partial,0.4
-1931-04-12,April,Spring,Total,0.5
-1931-10-06,October,Autumn,Annular,0.5
-1930-04-01,April,Spring,Total,0.5
-1930-09-25,September,Autumn,Annular,0.5
-1929-03-22,March,Spring,Total,0.5
-1929-09-14,September,Autumn,Annular,0.5
-1928-02-10,February,Winter,Partial,0.4
-1928-08-04,August,Summer,Partial,0.5
-1928-09-03,September,Autumn,Partial,0.1
-1927-01-29,January,Winter,Annular,0.4
-1927-07-25,July,Summer,Total,0.5
-1926-01-18,January,Winter,Annular,0.5
-1926-07-14,July,Summer,Hybrid,0.5
