year,date,saros,type,ge_sun_alt,ge_lat,ge_lon,sunset_min_alt,sunset_max_dur_s,sunset_entry_lat,sunset_entry_lon,sunset_end_lat,sunset_end_lon,sunrise_min_alt,sunrise_max_dur_s,sunrise_entry_lat,sunrise_entry_lon,sunrise_end_lat,sunrise_end_lon
-1999,-1999-06-12,5,T,74.4,6.03,-33.33,4.7,215.4,5.56,16.93,3.25,23.39,2.2,205.4,-26.51,-80.22,-29.88,-87.65
-1998,-1998-06-01,15,T,59.8,46.18,83.42,3.4,56.2,51.10,175.78,49.13,-178.10,4.7,57.6,13.15,39.89,10.21,33.26
-1996,-1996-10-04,2,T,58.7,28.78,38.60,3.5,56.7,3.07,76.09,1.77,85.76,3.2,41.8,60.86,-37.10,60.93,-42.90
-1994,-1994-03-20,17,T,35.7,39.37,-73.30,,,,,,,1.3,105.5,24.97,-101.92,25.34,-112.85
-1992,-1992-01-29,-1,T,67.0,-44.06,-13.34,1.9,22.4,-11.95,36.16,-7.78,44.90,0.0,14.5,-39.02,-93.27,-35.00,-103.11
-1991,-1991-07-12,14,T,76.1,10.05,106.34,3.0,167.7,-13.68,153.81,-17.36,161.28,4.1,172.4,-2.42,56.63,-5.43,50.00
-1990,-1990-07-02,24,T,15.2,-51.16,-149.50,1.2,219.4,-62.11,-123.89,-62.11,-123.89,2.7,223.9,-59.20,-174.21,-59.20,-174.21
-1988,-1988-11-04,11,T,79.8,-0.65,106.50,4.7,108.8,-7.72,156.76,-6.52,164.83,3.7,106.7,23.14,56.26,25.07,48.11
-1987,-1987-10-25,21,T,31.9,48.34,-107.12,3.9,75.1,39.48,-71.02,39.79,-63.80,,,,,,
-1985,-1985-03-11,-2,T,57.8,20.32,-44.22,3.8,132.0,44.72,9.91,46.10,15.67,3.7,147.3,13.97,-87.31,15.32,-96.27
-1984,-1984-02-28,8,T,78.5,-25.47,81.90,4.9,188.1,-1.37,130.90,1.05,138.50,2.1,183.5,-27.26,19.22,-25.00,9.68
-1983,-1983-02-17,18,T,20.9,-79.08,-89.06,1.4,67.6,-57.42,-61.08,-54.80,-55.02,,,,,,
-1981,-1981-06-23,5,T,70.1,3.34,-146.80,5.2,207.5,-1.81,-98.96,-4.23,-92.99,3.2,197.7,-25.88,166.93,-29.06,160.44
-1980,-1980-06-12,15,T,64.6,44.97,-19.93,2.9,40.4,42.71,64.91,40.50,70.69,3.9,41.1,12.27,-67.13,8.84,-74.35
-1978,-1978-10-16,2,T,58.3,24.84,-93.96,4.6,41.5,2.43,-55.64,2.02,-47.54,2.1,27.1,60.39,-162.35,60.97,-169.24
-1976,-1976-03-30,17,T,41.7,37.88,174.67,,,,,,,3.0,124.2,19.21,143.85,18.67,134.01
-1974,-1974-02-08,-1,T,64.8,-43.33,-131.61,1.7,24.2,-10.35,-86.49,-6.00,-76.72,3.1,13.8,-44.73,142.84,-42.65,136.92
-1973,-1973-07-24,14,T,79.3,12.88,-11.26,4.9,160.8,-15.30,36.50,-17.91,41.72,3.5,166.8,4.61,-63.46,1.55,-70.62
-1972,-1972-07-12,24,T,25.0,-40.66,89.58,2.1,206.5,-58.51,123.77,-58.51,123.77,2.3,217.2,-47.89,58.35,-49.90,54.35
-1970,-1970-11-16,11,T,79.7,-4.41,-29.35,2.6,110.3,-6.11,21.82,-3.90,31.18,3.9,109.0,19.81,-78.44,22.19,-86.10
-1969,-1969-11-05,21,T,31.6,45.14,115.06,3.9,67.6,39.72,150.38,40.65,157.54,2.5,53.3,69.84,58.65,69.84,58.65
-1967,-1967-03-21,-2,T,53.8,27.78,-163.59,1.9,146.8,51.50,-103.62,52.79,-95.20,4.5,163.9,17.55,154.22,18.08,145.88
