rank,calendar_date,eclipse_count,cumulative_duration,cumulative_secs,avg_duration,avg_secs
1,Jul 22,17,71m00.20s,4260.2,4m10.60s,250.6
2,Jun 30,14,70m24.10s,4224.1,5m01.72s,301.7
3,May 22,15,69m55.20s,4195.2,4m39.68s,279.7
4,Jun 25,15,67m49.80s,4069.8,4m31.32s,271.3
5,Jul 27,15,66m59.00s,4019.0,4m27.93s,267.9
6,Aug 12,14,66m05.50s,3965.5,4m43.25s,283.2
7,Jun 9,12,62m55.40s,3775.4,5m14.62s,314.6
8,Aug 16,15,62m47.90s,3767.9,4m11.19s,251.2
9,May 12,14,61m23.80s,3683.8,4m23.13s,263.1
10,May 29,12,60m55.80s,3655.8,5m04.65s,304.7
11,Jun 3,13,59m30.40s,3570.4,4m34.65s,274.6
12,Jun 24,14,58m03.20s,3483.2,4m08.80s,248.8
13,May 25,13,57m02.90s,3422.9,4m23.30s,263.3
14,Jun 12,12,56m21.40s,3381.4,4m41.78s,281.8
15,Aug 7,14,55m50.70s,3350.7,3m59.34s,239.3
16,Mar 30,13,55m23.10s,3323.1,4m15.62s,255.6
17,Jul 4,12,55m13.00s,3313.0,4m36.08s,276.1
18,Jul 12,13,55m01.30s,3301.3,4m13.95s,253.9
19,Jul 16,14,55m00.20s,3300.2,3m55.73s,235.7
20,Jun 20,11,54m25.70s,3265.7,4m56.88s,296.9
21,Jul 25,11,54m12.40s,3252.4,4m55.67s,295.7
22,Apr 15,13,54m04.30s,3244.3,4m09.56s,249.6
23,Apr 25,12,53m55.50s,3235.5,4m29.62s,269.6
24,Apr 16,13,53m37.80s,3217.8,4m07.52s,247.5
25,Apr 30,12,53m17.70s,3197.7,4m26.48s,266.5
26,Jun 11,13,53m16.60s,3196.6,4m05.89s,245.9
27,Jun 16,11,53m05.60s,3185.6,4m49.60s,289.6
28,Jul 21,11,52m58.60s,3178.6,4m48.96s,289.0
29,Jun 13,12,52m49.30s,3169.3,4m24.11s,264.1
30,Mar 12,15,52m48.30s,3168.3,3m31.22s,211.2
31,Mar 8,13,52m25.90s,3145.9,4m01.99s,242.0
32,Apr 20,12,52m04.90s,3124.9,4m20.41s,260.4
33,May 3,13,52m02.20s,3122.2,4m00.17s,240.2
34,Jul 5,11,51m00.80s,3060.8,4m38.25s,278.3
35,Aug 29,13,50m54.50s,3054.5,3m54.96s,235.0
36,May 4,12,50m48.10s,3048.1,4m14.01s,254.0
37,Apr 27,12,50m46.10s,3046.1,4m13.84s,253.8
38,Jun 19,11,50m24.60s,3024.6,4m34.96s,275.0
39,May 1,11,49m57.00s,2997.0,4m32.45s,272.5
40,Aug 22,11,49m38.20s,2978.2,4m30.75s,270.7
41,Jul 3,9,49m29.10s,2969.1,5m29.90s,329.9
42,Jul 10,14,49m13.20s,2953.2,3m30.94s,210.9
43,Jul 31,11,48m51.40s,2931.4,4m26.49s,266.5
44,Sep 2,12,48m47.10s,2927.1,4m03.92s,243.9
45,Aug 2,10,48m30.40s,2910.4,4m51.04s,291.0
46,May 9,12,48m18.40s,2898.4,4m01.53s,241.5
47,Jun 22,11,48m17.00s,2897.0,4m23.36s,263.4
48,Apr 9,10,48m02.20s,2882.2,4m48.22s,288.2
49,Aug 19,14,48m00.80s,2880.8,3m25.77s,205.8
50,Apr 21,12,47m28.30s,2848.3,3m57.36s,237.4
51,Mar 18,11,47m24.20s,2844.2,4m18.56s,258.6
52,May 15,11,47m11.10s,2831.1,4m17.37s,257.4
53,Jun 28,11,47m06.80s,2826.8,4m16.98s,257.0
54,May 7,9,47m01.00s,2821.0,5m13.44s,313.4
55,Apr 3,12,46m51.40s,2811.4,3m54.28s,234.3
56,May 27,12,46m25.20s,2785.2,3m52.10s,232.1
57,Apr 12,12,46m05.70s,2765.7,3m50.48s,230.5
58,Jul 14,10,46m05.00s,2765.0,4m36.50s,276.5
59,Jul 1,10,46m01.50s,2761.5,4m36.15s,276.1
60,Jul 17,11,45m56.50s,2756.5,4m10.59s,250.6
61,Apr 6,12,45m26.40s,2726.4,3m47.20s,227.2
62,May 16,12,45m13.40s,2713.4,3m46.12s,226.1
63,Jun 15,9,45m08.70s,2708.7,5m00.97s,301.0
64,Feb 8,15,44m53.10s,2693.1,2m59.54s,179.5
65,Sep 7,11,44m19.00s,2659.0,4m01.73s,241.7
66,Jun 2,9,43m24.90s,2604.9,4m49.43s,289.4
67,Jul 29,10,43m10.40s,2590.4,4m19.04s,259.0
68,Jul 28,11,42m55.50s,2575.5,3m54.14s,234.1
69,Jun 7,11,42m46.40s,2566.4,3m53.31s,233.3
70,May 26,10,42m42.30s,2562.3,4m16.23s,256.2
71,Aug 23,11,42m41.10s,2561.1,3m52.83s,232.8
72,Nov 17,12,42m28.10s,2548.1,3m32.34s,212.3
73,Jun 8,9,42m18.80s,2538.8,4m42.09s,282.1
74,May 19,9,42m13.00s,2533.0,4m41.44s,281.4
75,May 10,10,42m11.40s,2531.4,4m13.14s,253.1
76,Apr 5,11,42m10.90s,2530.9,3m50.08s,230.1
77,May 23,9,41m41.20s,2501.2,4m37.91s,277.9
78,Aug 5,10,40m50.60s,2450.6,4m05.06s,245.1
79,May 28,9,40m37.50s,2437.5,4m30.83s,270.8
80,Apr 28,10,40m28.90s,2428.9,4m02.89s,242.9
81,May 14,10,40m25.80s,2425.8,4m02.58s,242.6
82,Mar 24,11,40m25.50s,2425.5,3m40.50s,220.5
83,Mar 14,12,40m08.40s,2408.4,3m20.70s,200.7
84,Jul 7,9,40m05.20s,2405.2,4m27.24s,267.2
85,May 18,7,40m01.80s,2401.8,5m43.11s,343.1
86,Jun 1,9,39m57.50s,2397.5,4m26.39s,266.4
87,Apr 24,10,39m55.10s,2395.1,3m59.51s,239.5
88,Sep 10,12,39m54.90s,2394.9,3m19.58s,199.6
89,Apr 10,10,39m40.50s,2380.5,3m58.05s,238.0
90,Mar 23,11,39m33.90s,2373.9,3m35.81s,215.8
91,Jun 6,10,39m32.70s,2372.7,3m57.27s,237.3
