lat,lon,sun_alt,totality_secs,magnitude,ut_max_utc,sunset_utc,min_to_sunset,sunset_eclipse
45.00,-10.00,13.8,105.1,1.0348,18:25:35,19:50:48,85.2,False
45.00,-9.75,13.6,108.8,1.0348,18:25:34,19:49:48,84.2,False
45.00,-9.50,13.4,111.4,1.0347,18:25:33,19:48:48,83.3,False
45.00,-9.25,13.3,113.0,1.0347,18:25:31,19:47:48,82.3,False
45.00,-9.00,13.1,113.8,1.0346,18:25:30,19:46:48,81.3,False
45.00,-8.75,12.9,113.6,1.0346,18:25:29,19:45:48,80.3,False
45.00,-8.50,12.7,112.7,1.0345,18:25:28,19:44:48,79.3,False
45.00,-8.25,12.6,110.9,1.0345,18:25:26,19:43:48,78.4,False
45.00,-8.00,12.4,108.2,1.0344,18:25:25,19:42:48,77.4,False
45.00,-7.75,12.2,104.6,1.0344,18:25:23,19:41:48,76.4,False
45.00,-7.50,12.1,100.1,1.0343,18:25:22,19:40:48,75.4,False
45.00,-7.25,11.9,94.6,1.0343,18:25:20,19:39:48,74.5,False
45.00,-7.00,11.7,87.8,1.0342,18:25:18,19:38:48,73.5,False
45.00,-6.75,11.5,79.4,1.0342,18:25:17,19:37:48,72.5,False
45.00,-6.50,11.4,69.0,1.0341,18:25:15,19:36:49,71.6,False
45.00,-6.25,11.2,55.5,1.0341,18:25:13,19:35:49,70.6,False
45.00,-6.00,11.0,35.6,1.0340,18:25:11,19:34:49,69.6,False
44.75,-10.00,13.7,96.8,1.0348,18:26:01,19:50:14,84.2,False
44.75,-9.75,13.5,102.3,1.0348,18:26:00,19:49:14,83.2,False
44.75,-9.50,13.3,106.5,1.0347,18:25:58,19:48:14,82.3,False
44.75,-9.25,13.1,109.6,1.0346,18:25:57,19:47:14,81.3,False
44.75,-9.00,13.0,111.7,1.0346,18:25:56,19:46:14,80.3,False
44.75,-8.75,12.8,112.9,1.0345,18:25:55,19:45:14,79.3,False
44.75,-8.50,12.6,113.2,1.0345,18:25:53,19:44:14,78.3,False
44.75,-8.25,12.5,112.6,1.0344,18:25:52,19:43:14,77.4,False
44.75,-8.00,12.3,111.3,1.0344,18:25:51,19:42:14,76.4,False
44.75,-7.75,12.1,109.1,1.0343,18:25:49,19:41:14,75.4,False
44.75,-7.50,11.9,106.1,1.0343,18:25:47,19:40:14,74.5,False
44.75,-7.25,11.8,102.2,1.0342,18:25:46,19:39:14,73.5,False
44.75,-7.00,11.6,97.3,1.0342,18:25:44,19:38:15,72.5,False
44.75,-6.75,11.4,91.3,1.0341,18:25:42,19:37:15,71.5,False
44.75,-6.50,11.3,84.0,1.0341,18:25:40,19:36:15,70.6,False
44.75,-6.25,11.1,75.0,1.0340,18:25:38,19:35:15,69.6,False
44.75,-6.00,10.9,63.7,1.0340,18:25:36,19:34:15,68.6,False
44.75,-5.75,10.7,48.6,1.0339,18:25:34,19:33:15,67.7,False
44.75,-5.50,10.6,22.9,1.0339,18:25:32,19:32:15,66.7,False
44.50,-10.00,13.6,85.0,1.0348,18:26:27,19:49:40,83.2,False
44.50,-9.75,13.4,92.9,1.0347,18:26:25,19:48:40,82.2,False
44.50,-9.50,13.2,99.1,1.0347,18:26:24,19:47:40,81.3,False
44.50,-9.25,13.0,103.9,1.0346,18:26:23,19:46:40,80.3,False
44.50,-9.00,12.9,107.5,1.0346,18:26:22,19:45:40,79.3,False
44.50,-8.75,12.7,110.1,1.0345,18:26:21,19:44:40,78.3,False
44.50,-8.50,12.5,111.7,1.0345,18:26:19,19:43:41,77.4,False
44.50,-8.25,12.3,112.4,1.0344,18:26:18,19:42:41,76.4,False
44.50,-8.00,12.2,112.4,1.0343,18:26:16,19:41:41,75.4,False
44.50,-7.75,12.0,111.5,1.0343,18:26:15,19:40:41,74.4,False
44.50,-7.50,11.8,109.8,1.0342,18:26:13,19:39:41,73.5,False
44.50,-7.25,11.6,107.3,1.0342,18:26:11,19:38:41,72.5,False
44.50,-7.00,11.5,104.0,1.0341,18:26:09,19:37:41,71.5,False
44.50,-6.75,11.3,99.7,1.0341,18:26:08,19:36:41,70.6,False
44.50,-6.50,11.1,94.5,1.0340,18:26:06,19:35:41,69.6,False
44.50,-6.25,11.0,88.1,1.0340,18:26:04,19:34:41,68.6,False
44.50,-6.00,10.8,80.3,1.0339,18:26:02,19:33:41,67.7,False
44.50,-5.75,10.6,70.8,1.0339,18:25:59,19:32:41,66.7,False
44.50,-5.50,10.5,58.5,1.0338,18:25:57,19:31:41,65.7,False
44.50,-5.25,10.3,41.4,1.0338,18:25:55,19:30:41,64.8,False
44.25,-10.00,13.4,67.8,1.0347,18:26:52,19:49:07,82.2,False
44.25,-9.75,13.3,79.5,1.0347,18:26:51,19:48:07,81.3,False
44.25,-9.50,13.1,88.5,1.0346,18:26:50,19:47:07,80.3,False
44.25,-9.25,12.9,95.4,1.0346,18:26:49,19:46:07,79.3,False
44.25,-9.00,12.7,100.8,1.0345,18:26:48,19:45:07,78.3,False
44.25,-8.75,12.6,105.0,1.0345,18:26:46,19:44:07,77.3,False
44.25,-8.50,12.4,108.1,1.0344,18:26:45,19:43:07,76.4,False
44.25,-8.25,12.2,110.2,1.0344,18:26:43,19:42:07,75.4,False
44.25,-8.00,12.1,111.4,1.0343,18:26:42,19:41:07,74.4,False
44.25,-7.75,11.9,111.8,1.0343,18:26:40,19:40:07,73.5,False
44.25,-7.50,11.7,111.4,1.0342,18:26:38,19:39:08,72.5,False
44.25,-7.25,11.5,110.2,1.0342,18:26:37,19:38:08,71.5,False
44.25,-7.00,11.4,108.3,1.0341,18:26:35,19:37:08,70.5,False
44.25,-6.75,11.2,105.5,1.0340,18:26:33,19:36:08,69.6,False
44.25,-6.50,11.0,101.9,1.0340,18:26:31,19:35:08,68.6,False
44.25,-6.25,10.8,97.4,1.0339,18:26:29,19:34:08,67.6,False
44.25,-6.00,10.7,91.8,1.0339,18:26:27,19:33:08,66.7,False
44.25,-5.75,10.5,85.1,1.0338,18:26:25,19:32:08,65.7,False
44.25,-5.50,10.3,76.9,1.0338,18:26:22,19:31:08,64.8,False
44.25,-5.25,10.2,66.8,1.0337,18:26:20,19:30:08,63.8,False
44.25,-5.00,10.0,53.6,1.0337,18:26:18,19:29:08,62.8,False
44.25,-4.75,9.8,34.1,1.0336,18:26:15,19:28:08,61.9,False
44.00,-10.00,13.3,38.4,1.0347,18:27:18,19:48:34,81.3,False
44.00,-9.75,13.2,59.3,1.0346,18:27:17,19:47:34,80.3,False
44.00,-9.50,13.0,73.0,1.0346,18:27:16,19:46:34,79.3,False
44.00,-9.25,12.8,83.2,1.0345,18:27:15,19:45:34,78.3,False
44.00,-9.00,12.6,91.1,1.0345,18:27:13,19:44:34,77.3,False
44.00,-8.75,12.5,97.3,1.0344,18:27:12,19:43:34,76.4,False
44.00,-8.50,12.3,102.1,1.0344,18:27:10,19:42:34,75.4,False
44.00,-8.25,12.1,105.7,1.0343,18:27:09,19:41:34,74.4,False
44.00,-8.00,11.9,108.4,1.0343,18:27:07,19:40:34,73.5,False
44.00,-7.75,11.8,110.1,1.0342,18:27:06,19:39:35,72.5,False
44.00,-7.50,11.6,111.0,1.0342,18:27:04,19:38:35,71.5,False
44.00,-7.25,11.4,111.1,1.0341,18:27:02,19:37:35,70.5,False
44.00,-7.00,11.2,110.4,1.0341,18:27:00,19:36:35,69.6,False
44.00,-6.75,11.1,109.0,1.0340,18:26:58,19:35:35,68.6,False
44.00,-6.50,10.9,106.8,1.0340,18:26:56,19:34:35,67.6,False
44.00,-6.25,10.7,103.8,1.0339,18:26:54,19:33:35,66.7,False
44.00,-6.00,10.6,99.9,1.0339,18:26:52,19:32:35,65.7,False
44.00,-5.75,10.4,95.2,1.0338,18:26:50,19:31:35,64.8,False
44.00,-5.50,10.2,89.4,1.0337,18:26:48,19:30:35,63.8,False
44.00,-5.25,10.0,82.4,1.0337,18:26:45,19:29:35,62.8,False
