date,century,saros,type,ge_sun_alt,min_sun_alt,land_sun_alt,max_totality_s,continent,countries,nearest_town,town_cc,dist_km,land_lat,land_lon
1901-05-18,20th,136,T,68.7,0.9,5.6,199.1,Africa,MG,Tsiombe,MG,28,-25.34,45.75
1904-09-09,20th,133,T,80.6,1.5,5.8,203.1,Oceania,MH,Aur,MH,59,8.34,168.57
1905-08-30,20th,143,T,55.0,2.5,2.5,117.2,North America,CA,Ear Falls,CA,61,50.86,-92.44
1907-01-14,20th,120,T,30.1,4.0,4.0,85.7,Asia/Europe,KZ RU,Nizhniy Baskunchak,RU,28,48.28,47.20
1911-04-28,20th,127,T,76.8,1.2,1.2,146.2,Oceania,AU,Bermagui,AU,6,-36.45,150.01
1912-10-10,20th,142,T,65.3,1.6,13.1,42.8,South America,EC,Esmeraldas,EC,95,1.45,-80.35
1919-05-29,20th,136,T,72.8,3.5,3.5,210.1,South America,BO PE,Chulumani,BO,42,-18.36,-71.78
1922-09-21,20th,133,T,77.6,4.9,4.9,191.1,Africa,SO,Hobyo,SO,42,5.53,48.20
1925-01-24,20th,120,T,29.7,4.0,4.0,96.1,North America,US,Leland,US,25,46.47,-89.49
1926-01-14,20th,130,T,78.7,4.9,4.9,105.7,Africa,CD CF SS UG,Arua,UG,12,5.05,25.65
1927-06-29,20th,145,T,34.9,3.4,6.7,17.7,Europe,IE,Kinsale,IE,119,50.64,-8.34
1930-10-21,20th,142,T,67.5,3.4,9.9,42.3,Oceania,FM,Kapingamarangi,FM,109,2.05,154.96
1934-02-14,20th,139,T,60.8,4.1,4.1,82.6,Asia,ID MY,Long Pujungan,ID,38,3.03,111.74
1936-06-19,20th,126,T,57.1,4.3,6.6,72.2,Europe,GR,Leonidio,GR,10,37.12,22.95
1937-06-08,20th,136,T,77.0,5.1,9.4,218.6,Oceania,TV,Savave Village,TV,22,-8.06,178.12
1940-10-01,20th,133,T,75.0,3.9,3.9,177.5,South America,CO VE,San Carlos de Rio Negro,VE,42,2.42,-74.69
1941-09-21,20th,143,T,62.1,4.6,4.6,87.5,Asia/Europe,KZ RU,Beyneu,KZ,65,45.75,48.81
1943-02-04,20th,120,T,28.8,3.8,3.8,107.0,Europe,RU,Terney,RU,19,45.58,134.74
1945-07-09,20th,145,T,42.3,3.1,3.1,29.7,North America,US,Boulder,US,12,46.13,-112.15
