date,year,century,saros,type,ge_sun_alt,sunset_exists,sunset_min_sun_alt,sunset_max_totality_s,sunset_over_land,sunset_continent,sunset_countries,sunset_town,sunset_dist_km,sunset_land_sun_alt,sunset_land_lat,sunset_land_lon,sunrise_exists,sunrise_min_sun_alt,sunrise_max_totality_s,sunrise_over_land,sunrise_continent,sunrise_countries,sunrise_town,sunrise_dist_km,sunrise_land_sun_alt,sunrise_land_lat,sunrise_land_lon
1901-05-18,1901,20th,136,T,68.7,True,3.3,202.4,True,Oceania,PG,Kwikila,34,6.4,-10.67,150.98,True,0.9,199.1,True,Africa,MG,Tsiombe,28,5.6,-25.34,45.75
1903-09-21,1903,20th,123,T,25.8,False,,,False,,,,,,,,True,3.5,97.6,False,,,,,,,
1904-09-09,1904,20th,133,T,80.6,True,3.2,196.5,False,,,,,,,,True,1.5,203.1,True,Oceania,MH,Aur,59,5.8,8.34,168.57
1905-08-30,1905,20th,143,T,55.0,True,3.1,130.3,True,Asia,SA,As Sulayyil,3,9.3,20.43,45.58,True,2.5,117.2,True,North America,CA,Ear Falls,61,2.5,50.86,-92.44
1907-01-14,1907,20th,120,T,30.1,True,3.4,79.6,True,Europe,RU,Ovsyanka,117,3.4,54.61,126.50,True,4.0,85.7,True,Asia/Europe,KZ RU,Nizhniy Baskunchak,28,4.0,48.28,47.20
1908-01-03,1908,20th,130,T,78.9,True,3.4,108.5,False,,,,,,,,True,5.4,108.2,False,,,,,,,
1910-05-09,1910,20th,117,T,18.8,True,2.0,219.8,True,Oceania,AU,Geeveston,111,7.4,-44.16,146.88,False,,,False,,,,,,,
1911-04-28,1911,20th,127,T,76.8,True,4.7,159.0,False,,,,,,,,True,1.2,146.2,True,Oceania,AU,Bermagui,6,1.2,-36.45,150.01
1912-10-10,1912,20th,142,T,65.3,True,3.8,29.5,False,,,,,,,,True,1.6,42.8,True,South America,EC,Esmeraldas,95,13.1,1.45,-80.35
1914-08-21,1914,20th,124,T,39.8,True,4.3,86.7,True,Asia,IR PK,Turbat,13,4.3,24.89,66.20,True,2.4,70.0,False,,,,,,,
1916-02-03,1916,20th,139,T,60.0,True,2.8,52.3,False,,,,,,,,True,2.7,68.0,False,,,,,,,
1918-06-08,1918,20th,126,T,62.0,True,2.4,55.9,True,North America,BS US,Lake Panasoffkee,9,2.4,26.44,-76.87,True,2.8,60.5,False,,,,,,,
1919-05-29,1919,20th,136,T,72.8,True,1.7,211.1,True,Africa,MZ TZ,Ulenje,10,1.7,-11.79,40.93,True,3.5,210.1,True,South America,BO PE,Chulumani,42,3.5,-18.36,-71.78
1921-10-01,1921,20th,123,T,19.7,False,,,False,,,,,,,,True,2.5,89.8,False,,,,,,,
1922-09-21,1922,20th,133,T,77.6,True,4.6,184.0,False,,,,,,,,True,4.9,191.1,True,Africa,SO,Hobyo,42,4.9,5.53,48.20
1923-09-10,1923,20th,143,T,58.8,True,4.3,117.0,False,,,,,,,,True,3.0,103.1,False,,,,,,,
1925-01-24,1925,20th,120,T,29.7,True,3.8,88.3,False,,,,,,,,True,4.0,96.1,True,North America,US,Leland,25,4.0,46.47,-89.49
1926-01-14,1926,20th,130,T,78.7,True,4.3,107.0,False,,,,,,,,True,4.9,105.7,True,Africa,CD CF SS UG,Arua,12,4.9,5.05,25.65
1927-06-29,1927,20th,145,T,34.9,True,2.7,14.4,False,,,,,,,,True,3.4,17.7,True,Europe,IE,Kinsale,119,6.7,50.64,-8.34
