date,century,saros,type,ge_sun_alt,min_sun_alt,land_sun_alt,max_totality_s,continent,countries,nearest_town,town_cc,dist_km,land_lat,land_lon
1901-05-18,20th,136,T,68.7,3.3,6.4,202.4,Oceania,PG,Kwikila,PG,34,-10.67,150.98
1905-08-30,20th,143,T,55.0,3.1,9.3,130.3,Asia,SA,As Sulayyil,SA,3,20.43,45.58
1907-01-14,20th,120,T,30.1,3.4,3.4,79.6,Europe,RU,Ovsyanka,RU,117,54.61,126.50
1910-05-09,20th,117,T,18.8,2.0,7.4,219.8,Oceania,AU,Geeveston,AU,111,-44.16,146.88
1914-08-21,20th,124,T,39.8,4.3,4.3,86.7,Asia,IR PK,Turbat,PK,13,24.89,66.20
1918-06-08,20th,126,T,62.0,2.4,2.4,55.9,North America,BS US,Lake Panasoffkee,US,9,26.44,-76.87
1919-05-29,20th,136,T,72.8,1.7,1.7,211.1,Africa,MZ TZ,Ulenje,TZ,10,-11.79,40.93
1929-05-09,20th,127,T,73.2,2.7,6.1,161.3,Oceania,FM,Ifalik,FM,70,6.52,147.27
1937-06-08,20th,136,T,77.0,5.4,5.4,217.2,South America,PE,Quillo,PE,18,-10.22,-75.80
1941-09-21,20th,143,T,62.1,3.0,6.1,99.7,Oceania,MH,Mejit,MH,25,10.17,170.67
1944-01-25,20th,130,T,78.4,1.2,1.2,105.1,Africa,BF ML NE,Ansongo,ML,43,18.40,8.24
1945-07-09,20th,145,T,42.3,3.4,3.4,27.9,Asia,KZ,Khantaghy,KZ,4,43.56,68.56
1947-05-20,20th,127,T,69.3,4.2,4.2,164.6,Africa,CD TZ UG,Kamwenge,UG,34,-0.83,33.11
1952-02-25,20th,139,T,61.9,2.2,5.7,79.4,Europe,RU,Abaza,RU,14,52.60,90.28
1954-06-30,20th,126,T,51.9,2.3,2.3,79.4,Asia,AF IN PK,Mastung,PK,10,27.40,71.59
1958-10-12,20th,133,T,72.7,2.9,2.9,161.1,South America,CL,Machali,CL,56,-34.08,-70.06
1959-10-02,20th,143,T,65.0,3.7,6.4,81.2,Africa,SO,Gaalkacyo,SO,82,7.08,49.96
1968-09-22,20th,124,T,18.6,3.1,3.1,28.0,Asia,CN KZ,Akdala,CN,24,42.48,86.05
1977-10-12,20th,143,T,67.3,3.7,6.5,60.7,South America,CO,Manta,CO,3,5.20,-71.73
1980-02-16,20th,130,T,77.1,2.6,2.6,108.4,Asia,CN MM,Tuguan,CN,9,25.95,105.84
1983-06-11,20th,127,T,60.3,1.1,1.1,161.5,Oceania,VU,Port-Vila,VU,107,-17.64,167.32
1999-08-11,20th,145,T,59.3,1.2,5.2,59.6,Asia,IN,Murtajapur,IN,6,19.09,82.11
2001-06-21,21st,127,T,55.2,4.8,7.0,153.2,Africa,MG,Ihosy,MG,35,-23.75,48.57
2002-12-04,21st,142,T,72.2,4.2,4.2,34.9,Oceania,AU,Ceduna,AU,21,-30.33,138.06
2006-03-29,21st,139,T,67.3,0.7,0.7,125.4,Europe,RU,Choya,RU,17,51.64,97.58
2008-08-01,21st,126,T,33.5,1.2,1.2,103.4,Asia,CN,Tongchuan,CN,6,33.99,112.44
2019-07-02,21st,127,T,49.6,3.6,3.6,144.4,South America,AR,Carnerillo,AR,9,-34.10,-61.44
2026-08-12,21st,126,T,25.8,3.1,3.1,107.6,Europe,ES,Quintanilla del Coco,ES,2,39.81,1.76
2034-03-20,21st,130,T,73.1,5.0,9.2,115.9,Asia,CN,Zangkaxa,CN,82,34.49,81.70
2044-08-23,21st,126,T,15.4,2.5,2.5,110.5,North America,CA US,Strathmore,CA,11,47.98,-106.35
2045-08-12,21st,136,T,77.6,1.1,12.6,209.6,South America,BR,Itamaraca,BR,118,-7.81,-33.76
2048-12-05,21st,133,T,66.4,3.6,3.6,101.9,Africa,NA,Maltahohe,NA,79,-24.12,16.96
2059-05-11,21st,129,T,59.4,3.0,3.0,52.1,South America,BR,Jacareacanga,BR,44,-8.37,-50.11
2060-04-30,21st,139,T,75.8,2.1,2.1,169.4,Asia,CN,Sanjiaocheng,CN,33,37.17,101.15
2063-08-24,21st,136,T,73.8,4.7,4.7,205.7,Oceania,PF,Taiohae,PF,72,-9.17,-140.69
2072-09-12,21st,155,T,14.4,1.5,4.2,173.2,Europe,RU,Nizhniy Kuranakh,RU,25,58.72,126.66
2075-01-16,21st,142,T,73.5,0.9,12.3,60.0,South America,BR,Ilheus,BR,85,-14.82,-38.25
2077-05-22,21st,129,T,55.0,3.0,9.2,73.6,Oceania,AS,Ofu,AS,107,-13.60,-168.67
2088-04-21,21st,130,T,65.4,3.0,3.0,118.1,Asia,CN,Dangchengwan,CN,82,38.81,94.68
2090-09-23,21st,155,T,23.2,3.3,3.3,176.6,Europe,FR GB,Tessy-sur-Vire,FR,3,48.96,-1.09
2093-01-27,21st,142,T,73.9,3.4,12.8,70.8,Oceania,AS,Taulaga,AS,51,-10.61,-171.16
