date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1999-06-12,Total,00:06:37,397,6.0N,33.3W,6.02745000,-33.32629000,5,-.27009000,1.07329000,246.60000000
-1999-12-05,Annular,00:06:44,404,32.9S,10.8E,-32.92723000,10.79871000,10,-.23172000,.93818000,235.90000000
-1998-06-01,Total,00:02:15,135,46.2N,83.4E,46.18256000,83.42010000,15,.49936000,1.02844000,110.80000000
-1998-11-25,Annular,00:01:14,74,67.8S,143.8W,-67.80704000,-143.81647000,20,-.90454000,.98056000,162.40000000
-1997-04-22,Partial,,,60.6S,106.4W,-60.62912000,-106.42572000,-13,-1.46705000,.16108000,.00000000
-1997-05-22,Partial,,,61.7N,151.7W,61.73908000,-151.74512000,25,1.32533000,.40348000,.00000000
-1997-10-16,Partial,,,60.6N,22.7W,60.58538000,-22.67322000,-8,1.16687000,.69542000,.00000000
-1997-11-14,Partial,,,61.5S,27.7W,-61.49854000,-27.74097000,30,-1.51826000,.03768000,.00000000
-1996-04-10,Annular,00:05:11,311,38.2S,167.2W,-38.21169000,-167.24695000,-3,-.72306000,.94640000,277.10000000
-1996-10-04,Total,00:02:04,124,28.8N,38.6E,28.77621000,38.59772000,2,.51655000,1.02568000,100.60000000
-1995-03-30,Annular,00:01:17,77,0.2S,112.7E,-.15099000,112.65961000,7,.06088000,.98729000,44.90000000
-1995-09-24,Annular,00:02:22,142,3.1S,150.0W,-3.12017000,-150.00092000,12,-.18634000,.97659000,84.80000000
-1994-03-20,Total,00:02:35,155,39.4N,73.3W,39.37442000,-73.29974000,17,.80913000,1.03331000,186.30000000
-1994-09-13,Annular,00:06:57,417,48.2S,116.1E,-48.16715000,116.11536000,22,-.92650000,.92490000,732.60000000
-1993-02-08,Partial,,,62.7S,23.1W,-62.69757000,-23.05664000,-11,-1.06993000,.88255000,.00000000
-1993-03-09,Partial,,,61.2N,11.4E,61.21449000,11.36194000,27,1.49071000,.07542000,.00000000
-1993-08-03,Partial,,,63.5N,166.7W,63.48365000,-166.65881000,-6,1.31162000,.42918000,.00000000
-1992-01-29,Total,00:01:30,90,44.1S,13.3W,-44.06266000,-13.33923000,-1,-.38746000,1.01809000,67.10000000
-1992-07-23,Hybrid,00:00:29,29,54.0N,39.0W,54.02417000,-38.99939000,4,.51819000,1.00587000,23.80000000
-1991-01-17,Annular,00:05:03,303,3.5S,160.1W,-3.52616000,-160.07642000,9,.34597000,.95986000,155.00000000
-1991-07-12,Total,00:05:50,350,10.0N,106.3E,10.04904000,106.34448000,14,-.24211000,1.06064000,205.20000000
-1990-01-06,Partial,,,65.4N,163.3E,65.42911000,163.27966000,19,1.07494000,.82564000,.00000000
-1990-07-02,Total,00:04:30,270,51.2S,149.5W,-51.15661000,-149.49939000,24,-.96233000,1.06086000,755.80000000
-1990-11-26,Partial,,,69.3S,67.4W,-69.34758000,-67.40076000,-9,-1.25173000,.53161000,.00000000
-1989-05-23,Hybrid,00:00:27,27,72.1N,79.4E,72.06842000,79.42603000,-4,.86160000,1.00669000,45.90000000
-1989-11-16,Hybrid,00:00:18,18,44.0S,54.1W,-44.01704000,-54.12866000,1,-.50960000,1.00358000,14.40000000
-1988-05-11,Annular,00:04:11,251,18.3N,16.8E,18.25372000,16.80884000,6,.09873000,.96524000,126.10000000
-1988-11-04,Total,00:04:04,244,0.6S,106.5E,-.64959000,106.50153000,11,.17677000,1.04354000,147.50000000
-1987-05-01,Annular,00:06:10,370,31.9S,17.1E,-31.88585000,17.05469000,16,-.67334000,.94639000,263.80000000
-1987-10-25,Total,00:01:58,118,48.3N,107.1W,48.34189000,-107.12262000,21,.84601000,1.02604000,164.90000000
-1986-03-21,Partial,,,71.2N,79.3E,71.23162000,79.28967000,-12,1.32836000,.39493000,.00000000
-1986-04-20,Partial,,,71.5S,44.6E,-71.50880000,44.62433000,26,-1.40352000,.26453000,.00000000
-1986-09-15,Partial,,,71.0S,155.5W,-71.02474000,-155.52563000,-7,-1.27108000,.49832000,.00000000
-1985-03-11,Total,00:04:29,269,20.3N,44.2W,20.31889000,-44.21558000,-2,.53118000,1.04898000,190.90000000
-1985-09-04,Annular,00:09:22,562,21.9S,138.3W,-21.91133000,-138.28162000,3,-.59768000,.92722000,338.30000000
-1984-02-28,Total,00:05:53,353,25.5S,81.9E,-25.47194000,81.90222000,8,-.19747000,1.06902000,229.40000000
-1984-08-23,Annular,00:07:27,447,24.0N,123.1W,24.02299000,-123.06366000,13,.11509000,.94020000,223.20000000
-1983-02-17,Total,00:01:30,90,79.1S,89.1W,-79.07987000,-89.06378000,18,-.93095000,1.02594000,246.50000000
-1983-08-12,Annular,00:01:15,75,75.4N,168.1W,75.42886000,-168.05420000,23,.83317000,.98202000,116.40000000
-1982-01-08,Partial,,,65.6N,85.9W,65.64454000,-85.94995000,-10,1.14513000,.71317000,.00000000
-1982-07-03,Partial,,,64.8S,127.1E,-64.80450000,127.14532000,-5,-1.06634000,.89327000,.00000000
-1982-08-02,Partial,,,67.5N,157.3E,67.49148000,157.33887000,33,1.49962000,.06784000,.00000000
-1982-12-28,Annular,00:11:38,698,4.2N,97.2W,4.16631000,-97.16974000,0,.47096000,.91914000,346.40000000
-1981-06-23,Total,00:06:28,388,3.3N,146.8W,3.33750000,-146.80164000,5,-.34073000,1.06930000,239.70000000
-1981-12-17,Annular,00:06:21,381,35.0S,110.7W,-35.00831000,-110.65479000,10,-.22488000,.94197000,220.30000000
-1980-06-12,Total,00:02:00,120,45.0N,19.9W,44.96508000,-19.93408000,15,.42480000,1.02425000,91.00000000
-1980-12-05,Annular,00:00:58,58,72.0S,82.1E,-72.02164000,82.12402000,20,-.90175000,.98454000,127.50000000
-1979-05-02,Partial,,,60.9S,147.5E,-60.92104000,147.45312000,-13,-1.55428000,.01095000,.00000000
-1979-06-01,Partial,,,62.3N,99.3E,62.34518000,99.34314000,25,1.24526000,.54422000,.00000000
-1979-10-26,Partial,,,60.8N,165.9W,60.76141000,-165.88470000,-8,1.16909000,.69099000,.00000000
-1979-11-25,Partial,,,62.1S,171.7W,-62.11073000,-171.69269000,30,-1.51697000,.03920000,.00000000
-1978-04-21,Annular,00:05:00,300,40.6S,97.8E,-40.62518000,97.83881000,-3,-.80646000,.94763000,314.70000000
-1978-10-16,Total,00:01:47,107,24.8N,94.0W,24.84211000,-93.96362000,2,.52374000,1.02135000,84.30000000
-1977-04-11,Annular,00:00:44,44,0.4N,8.5E,.35835000,8.51355000,7,-.01392000,.99268000,25.70000000
-1977-10-05,Annular,00:02:53,173,6.9S,84.7E,-6.90770000,84.73639000,12,-.17474000,.97129000,104.30000000
-1976-03-30,Total,00:03:05,185,37.9N,174.7E,37.88448000,174.66516000,17,.74362000,1.04036000,197.40000000
-1976-09-23,Annular,00:07:10,430,48.2S,2.8W,-48.19975000,-2.78894000,22,-.90534000,.92152000,677.90000000
-1975-02-18,Partial,,,62.0S,155.5W,-61.99093000,-155.47693000,-11,-1.10989000,.80702000,.00000000
-1975-03-20,Partial,,,60.9N,115.5W,60.87513000,-115.46936000,27,1.43537000,.18113000,.00000000
-1975-08-14,Partial,,,62.7N,73.8E,62.67680000,73.81061000,-6,1.35687000,.35159000,.00000000
-1974-02-08,Total,00:01:28,88,43.3S,131.6W,-43.33181000,-131.61072000,-1,-.42302000,1.01792000,67.50000000
-1974-08-03,Hybrid,00:00:27,27,55.0N,147.6W,54.96401000,-147.63354000,4,.56767000,1.00571000,24.00000000
-1973-01-28,Annular,00:04:54,294,4.2S,82.0E,-4.18547000,82.01813000,9,.31683000,.96020000,151.80000000
-1973-07-24,Total,00:05:38,338,12.9N,11.3W,12.87902000,-11.26477000,14,-.18646000,1.06006000,200.80000000
-1972-01-17,Partial,,,64.4N,38.0E,64.39780000,38.02167000,19,1.05023000,.86771000,.00000000
-1972-07-12,Total,00:04:50,290,40.7S,89.6E,-40.66074000,89.57916000,24,-.90332000,1.06028000,464.30000000
-1972-12-07,Partial,,,68.4S,154.4E,-68.36314000,154.38965000,-9,-1.25003000,.53472000,.00000000
-1971-06-02,Annular,00:00:03,3,81.4N,79.8W,81.41918000,-79.79834000,-4,.94349000,.99924000,8.20000000
-1971-11-26,Hybrid,00:00:34,34,47.7S,175.3E,-47.66373000,175.32111000,1,-.50599000,1.00688000,27.60000000
-1970-05-23,Annular,00:04:23,263,26.8N,82.7W,26.75783000,-82.69806000,6,.18694000,.96255000,138.00000000
-1970-11-16,Total,00:04:10,250,4.4S,29.3W,-4.41410000,-29.34668000,11,.17852000,1.04417000,149.70000000
-1969-05-12,Annular,00:06:24,384,22.1S,83.5W,-22.14381000,-83.47699000,16,-.58393000,.94854000,230.80000000
-1969-11-05,Total,00:01:51,111,45.1N,115.1E,45.13597000,115.05591000,21,.84866000,1.02331000,149.20000000
-1968-03-31,Partial,,,71.5N,42.9W,71.46039000,-42.94775000,-12,1.38900000,.28429000,.00000000
-1968-04-30,Partial,,,71.2S,70.6W,-71.15751000,-70.63135000,26,-1.32031000,.41101000,.00000000
-1968-09-25,Partial,,,71.5S,69.3E,-71.48611000,69.27252000,-7,-1.29164000,.46283000,.00000000
-1967-03-21,Total,00:04:38,278,27.8N,163.6W,27.78197000,-163.59479000,-2,.58763000,1.05370000,217.90000000
-1967-09-14,Annular,00:09:27,567,27.4S,104.6E,-27.40532000,104.64838000,3,-.62634000,.92316000,368.10000000
