latitude_band,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,overperformer_delta
30S-20S,220,7.22,4m01.05s,241.05,883m50.60s,53030.60,9,7,6,3
50S-40S,191,6.26,3m10.51s,190.51,606m26.90s,36386.90,10,10,10,0
50N-60N,150,4.92,3m08.00s,188.00,470m00.00s,28200.00,11,11,11,0
60S-50S,141,4.62,2m36.29s,156.29,367m17.20s,22037.20,12,13,15,-3
60N-70N,128,4.20,2m53.40s,173.40,369m55.50s,22195.50,13,12,12,1
70S-60S,89,2.92,2m07.08s,127.08,188m29.90s,11309.90,14,15,16,-2
70N-80N,76,2.49,2m39.68s,159.68,202m15.70s,12135.70,15,14,13,2
80S-70S,50,1.64,1m40.00s,100.00,83m20.20s,5000.20,16,16,17,-1
80N-90N,28,0.92,2m37.56s,157.56,73m31.60s,4411.60,17,17,14,3
90S-80S,20,0.66,1m22.05s,82.05,27m21.10s,1641.10,18,18,18,0
