latitude_band,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,overperformer_delta
0-10N,270,8.86,4m28.85s,268.85,1209m50.40s,72590.40,2,1,2,0
20S-10S,272,8.92,4m23.11s,263.11,1192m46.00s,71566.00,1,2,4,-3
10S-0,246,8.07,4m29.75s,269.75,1105m59.00s,66359.00,3,3,1,2
10N-20N,237,7.77,4m24.19s,264.19,1043m33.40s,62613.40,5,4,3,2
20N-30N,231,7.58,4m02.61s,242.61,934m02.90s,56042.90,6,5,5,1
30N-40N,244,8.00,3m44.98s,224.98,914m55.50s,54895.50,4,6,7,-3
30S-20S,220,7.22,4m01.05s,241.05,883m50.60s,53030.60,9,7,6,3
40N-50N,231,7.58,3m32.73s,212.73,819m00.50s,49140.50,6,8,8,-2
40S-30S,225,7.38,3m27.04s,207.04,776m24.90s,46584.90,8,9,9,-1
50S-40S,191,6.26,3m10.51s,190.51,606m26.90s,36386.90,10,10,10,0
