saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
-2,7,0.23,4m18.53s,258.53,30m09.70s,1809.70,110,99,19,110,91
-1,6,0.20,1m21.42s,81.42,8m08.50s,488.50,117,120,125,117,-8
1,11,0.36,3m01.32s,181.32,33m14.50s,1994.50,94,94,94,94,0
2,3,0.10,1m47.47s,107.47,5m22.40s,322.40,131,130,118,131,13
4,11,0.36,3m00.79s,180.79,33m08.70s,1988.70,94,95,96,94,-2
5,11,0.36,4m22.70s,262.70,48m09.70s,2889.70,94,86,16,94,78
7,21,0.69,1m14.75s,74.75,26m09.80s,1569.80,69,101,129,69,-60
8,18,0.59,4m27.56s,267.56,80m16.10s,4816.10,71,65,12,71,59
10,9,0.30,1m23.18s,83.18,12m28.60s,748.60,105,114,124,105,-19
11,25,0.82,4m49.90s,289.90,120m47.50s,7247.50,60,47,4,60,56
13,7,0.23,2m13.63s,133.63,15m35.40s,935.40,110,112,107,110,3
14,32,1.05,4m36.36s,276.36,147m23.60s,8843.60,47,28,6,47,41
15,3,0.10,1m58.47s,118.47,5m55.40s,355.40,131,129,112,131,19
16,6,0.20,1m55.52s,115.52,11m33.10s,693.10,117,115,113,117,4
17,40,1.31,4m21.81s,261.81,174m32.60s,10472.60,19,9,17,19,2
18,11,0.36,2m14.34s,134.34,24m37.70s,1477.70,94,103,106,94,-12
19,5,0.16,1m53.32s,113.32,9m26.60s,566.60,122,118,115,122,7
20,42,1.38,4m11.68s,251.68,176m10.40s,10570.40,6,6,28,6,-22
21,18,0.59,1m46.69s,106.69,32m00.40s,1920.40,71,96,119,71,-48
22,4,0.13,1m35.20s,95.20,6m20.80s,380.80,126,126,122,126,4
23,41,1.34,3m56.39s,236.39,161m31.80s,9691.80,14,17,46,14,-32
24,15,0.49,3m02.59s,182.59,45m38.80s,2738.80,81,88,93,81,-12
25,2,0.07,0m38.00s,38.00,1m16.00s,76.00,136,136,,,
26,40,1.31,3m30.98s,210.98,140m39.30s,8439.30,19,32,73,19,-54
27,14,0.46,3m10.94s,190.94,44m33.10s,2673.10,86,89,86,86,0
29,27,0.89,4m51.76s,291.76,131m17.50s,7877.50,55,39,2,55,53
30,14,0.46,4m35.96s,275.96,64m23.50s,3863.50,86,74,7,86,79
32,37,1.21,3m45.10s,225.10,138m48.70s,8328.70,29,33,60,29,-31
33,15,0.49,3m56.37s,236.37,59m05.50s,3545.50,81,78,47,81,34
35,37,1.21,3m56.70s,236.70,145m57.80s,8757.80,29,29,45,29,-16
36,16,0.52,4m29.78s,269.78,71m56.50s,4316.50,77,68,9,77,68
38,37,1.21,4m01.11s,241.11,148m41.00s,8921.00,29,25,41,29,-12
39,30,0.98,3m31.60s,211.60,105m47.90s,6347.90,50,56,72,50,-22
41,36,1.18,3m44.84s,224.84,134m54.20s,8094.20,33,38,61,33,-28
42,33,1.08,3m34.67s,214.67,118m04.00s,7084.00,41,49,70,41,-29
44,34,1.12,3m43.01s,223.01,126m22.30s,7582.30,37,41,63,37,-26
45,34,1.12,3m46.01s,226.01,128m04.20s,7684.20,37,40,59,37,-22
47,26,0.85,3m51.90s,231.90,100m29.30s,6029.30,57,59,54,57,3
48,35,1.15,3m53.81s,233.81,136m23.30s,8183.30,36,35,53,36,-17
50,17,0.56,4m03.89s,243.89,69m06.20s,4146.20,73,70,37,73,36
51,34,1.12,3m38.21s,218.21,123m39.00s,7419.00,37,44,67,37,-30
53,16,0.52,4m24.79s,264.79,70m36.70s,4236.70,77,69,14,77,63
54,24,0.79,4m51.25s,291.25,116m30.10s,6990.10,61,51,3,61,58
56,15,0.49,3m53.98s,233.98,58m29.70s,3509.70,81,79,51,81,30
57,29,0.95,4m18.50s,258.50,124m56.50s,7496.50,52,43,20,52,32
59,16,0.52,3m01.20s,181.20,48m19.20s,2899.20,77,85,95,77,-18
60,39,1.28,3m43.82s,223.82,145m29.10s,8729.10,22,30,62,22,-40
61,2,0.07,0m35.65s,35.65,1m11.30s,71.30,136,137,,,
62,26,0.85,2m19.57s,139.57,60m28.80s,3628.80,57,76,103,57,-46
63,41,1.34,4m11.35s,251.35,171m45.50s,10305.50,14,12,29,14,-15
64,4,0.13,1m34.75s,94.75,6m19.00s,379.00,126,127,123,126,3
65,24,0.79,1m59.42s,119.42,47m46.00s,2866.00,61,87,110,61,-49
66,42,1.38,4m09.37s,249.37,174m33.60s,10473.60,6,8,32,6,-26
67,5,0.16,1m19.88s,79.88,6m39.40s,399.40,122,124,126,122,-4
68,11,0.36,2m13.17s,133.17,24m24.90s,1464.90,94,105,108,94,-14
69,42,1.38,4m23.33s,263.33,184m19.80s,11059.80,6,3,15,6,-9
70,5,0.16,2m05.92s,125.92,10m29.60s,629.60,122,117,109,122,13
71,9,0.30,3m05.31s,185.31,27m47.80s,1667.80,105,100,88,105,17
72,42,1.38,4m28.87s,268.87,188m12.70s,11292.70,6,1,10,6,-4
73,7,0.23,1m17.29s,77.29,9m01.00s,541.00,110,119,128,110,-18
74,8,0.26,2m18.00s,138.00,18m24.00s,1104.00,107,110,104,107,3
75,43,1.41,4m03.31s,243.31,174m22.40s,10462.40,3,11,39,3,-36
76,8,0.26,0m59.31s,59.31,7m54.50s,474.50,107,122,132,107,-25
77,7,0.23,2m21.89s,141.89,16m33.20s,993.20,110,111,100,110,10
78,44,1.44,3m57.82s,237.82,174m23.90s,10463.90,1,10,44,1,-43
79,10,0.33,1m52.25s,112.25,18m42.50s,1122.50,101,109,116,101,-15
80,5,0.16,1m36.62s,96.62,8m03.10s,483.10,122,121,121,122,1
81,43,1.41,3m40.12s,220.12,157m45.00s,9465.00,3,19,66,3,-63
82,11,0.36,2m52.00s,172.00,31m32.00s,1892.00,94,97,97,94,-3
83,2,0.07,0m28.85s,28.85,0m57.70s,57.70,136,138,,,
84,42,1.38,3m22.44s,202.44,141m42.50s,8502.50,6,31,81,6,-75
85,11,0.36,3m04.68s,184.68,33m51.50s,2031.50,94,93,90,94,4
87,40,1.31,4m03.46s,243.46,162m18.50s,9738.50,19,16,38,19,-19
88,12,0.39,4m14.94s,254.94,50m59.30s,3059.30,92,83,25,92,67
90,39,1.28,4m01.12s,241.12,156m43.50s,9403.50,22,21,40,22,-18
91,14,0.46,3m30.03s,210.03,49m00.40s,2940.40,86,84,74,86,12
93,39,1.28,4m05.35s,245.35,159m28.60s,9568.60,22,18,36,22,-14
94,17,0.56,3m55.66s,235.66,66m46.20s,4006.20,73,72,49,73,24
96,38,1.25,4m08.20s,248.20,157m11.70s,9431.70,28,20,33,28,-5
97,30,0.98,3m15.36s,195.36,97m40.70s,5860.70,50,60,85,50,-35
99,36,1.18,3m47.17s,227.17,136m18.10s,8178.10,33,36,58,33,-25
100,33,1.08,3m18.34s,198.34,109m05.20s,6545.20,41,55,82,41,-41
102,32,1.05,3m48.54s,228.54,121m53.30s,7313.30,47,45,56,47,-9
103,33,1.08,3m32.20s,212.20,116m42.70s,7002.70,41,50,71,41,-30
105,19,0.62,4m47.42s,287.42,91m00.90s,5460.90,70,63,5,70,65
106,33,1.08,3m41.48s,221.48,121m49.00s,7309.00,41,46,65,41,-24
108,16,0.52,4m15.90s,255.90,68m14.40s,4094.40,77,71,24,77,53
109,22,0.72,4m17.97s,257.97,94m35.30s,5675.30,66,61,21,66,45
111,17,0.56,4m20.18s,260.18,73m43.00s,4423.00,73,66,18,73,55
112,23,0.75,4m58.45s,298.45,114m24.30s,6864.30,65,52,1,65,64
114,17,0.56,3m26.14s,206.14,58m24.30s,3504.30,73,80,79,73,-6
115,36,1.18,3m48.44s,228.44,137m03.80s,8223.80,33,34,57,33,-24
117,27,0.89,2m23.26s,143.26,64m28.00s,3868.00,55,73,99,55,-44
118,39,1.28,3m53.97s,233.97,152m04.80s,9124.80,22,23,52,22,-30
119,1,0.03,0m32.10s,32.10,0m32.10s,32.10,139,140,,,
120,26,0.85,2m17.67s,137.67,59m39.30s,3579.30,57,77,105,57,-48
121,41,1.34,4m17.59s,257.59,176m01.10s,10561.10,14,7,22,14,-8
122,3,0.10,1m17.77s,77.77,3m53.30s,233.30,131,133,127,131,4
123,13,0.43,2m42.73s,162.73,35m15.50s,2115.50,90,92,98,90,-8
124,42,1.38,4m12.59s,252.59,176m48.70s,10608.70,6,5,27,6,-21
125,4,0.13,1m06.30s,66.30,4m25.20s,265.20,126,132,131,126,-5
126,10,0.33,2m20.56s,140.56,23m25.60s,1405.60,101,107,102,101,-1
127,41,1.34,4m28.06s,268.06,183m10.40s,10990.40,14,4,11,14,3
128,4,0.13,1m38.90s,98.90,6m35.60s,395.60,126,125,120,126,6
129,8,0.26,3m05.09s,185.09,24m40.70s,1480.70,107,102,89,107,18
130,42,1.38,4m25.04s,265.04,185m31.60s,11131.60,6,2,13,6,-7
131,6,0.20,0m48.17s,48.17,4m49.00s,289.00,117,131,134,117,-17
132,7,0.23,1m58.54s,118.54,13m49.80s,829.80,110,113,111,110,-1
133,44,1.44,3m50.53s,230.53,169m03.20s,10143.20,1,13,55,1,-54
134,7,0.23,0m53.29s,53.29,6m13.00s,373.00,110,128,133,110,-23
135,6,0.20,1m54.30s,114.30,11m25.80s,685.80,117,116,114,117,3
136,43,1.41,3m55.41s,235.41,168m42.50s,10122.50,3,14,50,3,-47
137,10,0.33,2m21.58s,141.58,23m35.80s,1415.80,101,106,101,101,0
138,3,0.10,0m44.03s,44.03,2m12.10s,132.10,131,135,135,131,-4
139,42,1.38,3m35.52s,215.52,150m51.80s,9051.80,6,24,69,6,-63
140,10,0.33,3m03.80s,183.80,30m38.00s,1838.00,101,98,92,101,9
142,41,1.34,3m37.41s,217.41,148m33.90s,8913.90,14,26,68,14,-54
143,12,0.39,3m16.82s,196.82,39m21.80s,2361.80,92,91,84,92,8
145,39,1.28,4m09.73s,249.73,162m19.50s,9739.50,22,15,31,22,-9
146,13,0.43,4m11.05s,251.05,54m23.70s,3263.70,90,81,30,90,60
148,39,1.28,3m58.52s,238.52,155m02.20s,9302.20,22,22,43,22,-21
149,15,0.49,3m26.46s,206.46,51m36.90s,3096.90,81,82,78,81,3
151,37,1.21,3m59.84s,239.84,147m53.90s,8873.90,29,27,42,29,-13
152,28,0.92,3m10.75s,190.75,89m01.10s,5341.10,54,64,87,54,-33
154,33,1.08,4m06.93s,246.93,135m48.60s,8148.60,41,37,35,41,6
155,32,1.05,3m29.29s,209.29,111m37.30s,6697.30,47,54,76,47,-29
157,24,0.79,3m55.71s,235.71,94m17.10s,5657.10,61,62,48,61,13
158,33,1.08,3m26.68s,206.68,113m40.60s,6820.60,41,53,77,41,-36
160,15,0.49,4m14.37s,254.37,63m35.50s,3815.50,81,75,26,81,55
161,34,1.12,3m42.39s,222.39,126m01.10s,7561.10,37,42,64,37,-27
163,6,0.20,3m22.50s,202.50,20m15.00s,1215.00,117,108,80,117,37
