saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
112,23,0.75,4m58.45s,298.45,114m24.30s,6864.30,65,52,1,65,64
29,27,0.89,4m51.76s,291.76,131m17.50s,7877.50,55,39,2,55,53
54,24,0.79,4m51.25s,291.25,116m30.10s,6990.10,61,51,3,61,58
11,25,0.82,4m49.90s,289.90,120m47.50s,7247.50,60,47,4,60,56
105,19,0.62,4m47.42s,287.42,91m00.90s,5460.90,70,63,5,70,65
14,32,1.05,4m36.36s,276.36,147m23.60s,8843.60,47,28,6,47,41
30,14,0.46,4m35.96s,275.96,64m23.50s,3863.50,86,74,7,86,79
167,22,0.72,4m34.35s,274.35,100m35.80s,6035.80,66,58,8,66,58
36,16,0.52,4m29.78s,269.78,71m56.50s,4316.50,77,68,9,77,68
72,42,1.38,4m28.87s,268.87,188m12.70s,11292.70,6,1,10,6,-4
127,41,1.34,4m28.06s,268.06,183m10.40s,10990.40,14,4,11,14,3
8,18,0.59,4m27.56s,267.56,80m16.10s,4816.10,71,65,12,71,59
130,42,1.38,4m25.04s,265.04,185m31.60s,11131.60,6,2,13,6,-7
53,16,0.52,4m24.79s,264.79,70m36.70s,4236.70,77,69,14,77,63
69,42,1.38,4m23.33s,263.33,184m19.80s,11059.80,6,3,15,6,-9
