saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
78,44,1.44,3m57.82s,237.82,174m23.90s,10463.90,1,10,44,1,-43
133,44,1.44,3m50.53s,230.53,169m03.20s,10143.20,1,13,55,1,-54
75,43,1.41,4m03.31s,243.31,174m22.40s,10462.40,3,11,39,3,-36
81,43,1.41,3m40.12s,220.12,157m45.00s,9465.00,3,19,66,3,-63
136,43,1.41,3m55.41s,235.41,168m42.50s,10122.50,3,14,50,3,-47
20,42,1.38,4m11.68s,251.68,176m10.40s,10570.40,6,6,28,6,-22
66,42,1.38,4m09.37s,249.37,174m33.60s,10473.60,6,8,32,6,-26
69,42,1.38,4m23.33s,263.33,184m19.80s,11059.80,6,3,15,6,-9
72,42,1.38,4m28.87s,268.87,188m12.70s,11292.70,6,1,10,6,-4
84,42,1.38,3m22.44s,202.44,141m42.50s,8502.50,6,31,81,6,-75
124,42,1.38,4m12.59s,252.59,176m48.70s,10608.70,6,5,27,6,-21
130,42,1.38,4m25.04s,265.04,185m31.60s,11131.60,6,2,13,6,-7
139,42,1.38,3m35.52s,215.52,150m51.80s,9051.80,6,24,69,6,-63
23,41,1.34,3m56.39s,236.39,161m31.80s,9691.80,14,17,46,14,-32
63,41,1.34,4m11.35s,251.35,171m45.50s,10305.50,14,12,29,14,-15
