saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
72,42,1.38,4m28.87s,268.87,188m12.70s,11292.70,6,1,10,6,-4
130,42,1.38,4m25.04s,265.04,185m31.60s,11131.60,6,2,13,6,-7
69,42,1.38,4m23.33s,263.33,184m19.80s,11059.80,6,3,15,6,-9
127,41,1.34,4m28.06s,268.06,183m10.40s,10990.40,14,4,11,14,3
124,42,1.38,4m12.59s,252.59,176m48.70s,10608.70,6,5,27,6,-21
20,42,1.38,4m11.68s,251.68,176m10.40s,10570.40,6,6,28,6,-22
121,41,1.34,4m17.59s,257.59,176m01.10s,10561.10,14,7,22,14,-8
66,42,1.38,4m09.37s,249.37,174m33.60s,10473.60,6,8,32,6,-26
17,40,1.31,4m21.81s,261.81,174m32.60s,10472.60,19,9,17,19,2
78,44,1.44,3m57.82s,237.82,174m23.90s,10463.90,1,10,44,1,-43
75,43,1.41,4m03.31s,243.31,174m22.40s,10462.40,3,11,39,3,-36
63,41,1.34,4m11.35s,251.35,171m45.50s,10305.50,14,12,29,14,-15
133,44,1.44,3m50.53s,230.53,169m03.20s,10143.20,1,13,55,1,-54
136,43,1.41,3m55.41s,235.41,168m42.50s,10122.50,3,14,50,3,-47
145,39,1.28,4m09.73s,249.73,162m19.50s,9739.50,22,15,31,22,-9
