saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
-2,7,0.23,4m18.53s,258.53,30m09.70s,1809.70,110,99,19,110,91
30,14,0.46,4m35.96s,275.96,64m23.50s,3863.50,86,74,7,86,79
5,11,0.36,4m22.70s,262.70,48m09.70s,2889.70,94,86,16,94,78
36,16,0.52,4m29.78s,269.78,71m56.50s,4316.50,77,68,9,77,68
88,12,0.39,4m14.94s,254.94,50m59.30s,3059.30,92,83,25,92,67
105,19,0.62,4m47.42s,287.42,91m00.90s,5460.90,70,63,5,70,65
112,23,0.75,4m58.45s,298.45,114m24.30s,6864.30,65,52,1,65,64
53,16,0.52,4m24.79s,264.79,70m36.70s,4236.70,77,69,14,77,63
146,13,0.43,4m11.05s,251.05,54m23.70s,3263.70,90,81,30,90,60
8,18,0.59,4m27.56s,267.56,80m16.10s,4816.10,71,65,12,71,59
54,24,0.79,4m51.25s,291.25,116m30.10s,6990.10,61,51,3,61,58
167,22,0.72,4m34.35s,274.35,100m35.80s,6035.80,66,58,8,66,58
11,25,0.82,4m49.90s,289.90,120m47.50s,7247.50,60,47,4,60,56
111,17,0.56,4m20.18s,260.18,73m43.00s,4423.00,73,66,18,73,55
160,15,0.49,4m14.37s,254.37,63m35.50s,3815.50,81,75,26,81,55
