saros,eclipse_count,share_pct,avg_duration,avg_secs,cumulative_duration,cum_secs,count_rank,cumulative_rank,average_rank,count_rank_eligible,overperformer_delta
84,42,1.38,3m22.44s,202.44,141m42.50s,8502.50,6,31,81,6,-75
81,43,1.41,3m40.12s,220.12,157m45.00s,9465.00,3,19,66,3,-63
139,42,1.38,3m35.52s,215.52,150m51.80s,9051.80,6,24,69,6,-63
7,21,0.69,1m14.75s,74.75,26m09.80s,1569.80,69,101,129,69,-60
26,40,1.31,3m30.98s,210.98,140m39.30s,8439.30,19,32,73,19,-54
133,44,1.44,3m50.53s,230.53,169m03.20s,10143.20,1,13,55,1,-54
142,41,1.34,3m37.41s,217.41,148m33.90s,8913.90,14,26,68,14,-54
65,24,0.79,1m59.42s,119.42,47m46.00s,2866.00,61,87,110,61,-49
21,18,0.59,1m46.69s,106.69,32m00.40s,1920.40,71,96,119,71,-48
120,26,0.85,2m17.67s,137.67,59m39.30s,3579.30,57,77,105,57,-48
136,43,1.41,3m55.41s,235.41,168m42.50s,10122.50,3,14,50,3,-47
62,26,0.85,2m19.57s,139.57,60m28.80s,3628.80,57,76,103,57,-46
117,27,0.89,2m23.26s,143.26,64m28.00s,3868.00,55,73,99,55,-44
78,44,1.44,3m57.82s,237.82,174m23.90s,10463.90,1,10,44,1,-43
100,33,1.08,3m18.34s,198.34,109m05.20s,6545.20,41,55,82,41,-41
