year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2375,2375-11-24,158,T,57.6,0.2,107.7,-49.22,158.14,-45.82,167.04,-49.2..-45.8,158.1..167.0
2583,2583-03-15,139,T,18.5,0.2,30.8,-44.83,179.63,-42.54,-168.55,-79.5..-42.5,-179.8..179.6
2672,2672-06-17,167,T,45.4,0.2,181.8,49.69,73.69,46.00,81.29,46.0..49.7,73.7..81.3
2525,2525-10-18,142,T,16.6,0.2,140.6,45.08,-137.06,75.74,-143.39,44.9..75.7,-143.4..-129.0
2154,2154-10-07,146,T,79.2,0.2,36.3,-39.89,113.77,-39.22,125.35,-39.9..-39.2,113.8..125.4
2204,2204-07-27,139,T,71.8,0.4,231.2,-21.05,-111.84,-25.00,-101.50,-25.0..-21.0,-111.8..-101.5
2689,2689-07-09,157,Tm,83.7,0.5,153.3,-3.00,172.29,-7.60,-177.14,-7.6..-3.0,-177.1..178.2
2319,2319-05-20,133,T,38.7,0.5,111.3,-27.35,-91.96,-30.82,-81.50,-30.8..-27.3,-92.0..-81.5
2255,2255-05-07,142,T,89.7,0.5,194.8,13.59,142.65,10.29,153.99,10.3..13.6,142.7..154.0
2511,2511-01-30,139,T,27.8,0.5,33.9,-43.09,-15.89,-38.86,-6.40,-43.1..-38.9,-15.9..-6.4
2552,2552-11-17,161,T,70.9,0.5,132.5,6.68,-45.81,10.40,-35.14,6.7..10.4,-45.8..-35.1
2407,2407-09-02,151,T,87.1,0.5,131.3,-17.14,88.60,-19.26,100.40,-19.3..-17.1,88.6..100.4
2949,2949-07-17,161,T,65.8,0.8,29.7,-22.98,147.30,-26.92,156.72,-26.9..-23.0,147.3..156.7
2964,2964-04-03,164,T,86.8,0.8,35.9,20.96,-83.23,20.11,-71.44,20.1..21.0,-83.2..-71.4
2136,2136-09-26,146,T,76.6,0.8,57.7,-42.36,-131.22,-42.61,-119.75,-42.6..-42.4,-131.2..-119.8
2977,2977-12-31,157,T,33.8,0.8,98.5,-46.52,92.94,-42.17,101.16,-46.5..-42.2,92.9..101.2
2588,2588-12-09,161,T,72.7,0.9,104.9,12.10,55.45,16.19,64.61,12.1..16.2,55.5..64.6
2075,2075-01-16,142,T,73.5,0.9,60.0,-14.82,-38.25,-10.55,-28.00,-14.8..-10.5,-38.3..-28.0
2893,2893-08-03,179,T,27.0,0.9,120.4,52.99,167.06,49.64,175.64,49.6..53.0,167.1..175.6
2507,2507-10-07,142,T,23.5,1.0,155.9,38.10,-13.58,37.77,-2.26,37.6..38.1,-13.6..-2.3
2479,2479-10-15,151,T,75.2,1.0,119.1,-32.18,-16.22,-30.73,-5.01,-32.2..-30.7,-16.2..-5.0
2942,2942-11-29,167,T,82.1,1.1,82.4,-15.45,83.78,-11.25,94.11,-15.4..-11.3,83.8..94.1
2045,2045-08-12,136,T,77.6,1.1,209.6,-7.81,-33.76,-11.32,-23.24,-11.3..-7.8,-33.8..-23.2
2990,2990-05-15,173,T,61.7,1.1,170.9,47.46,-75.44,44.68,-67.36,44.7..47.5,-75.4..-67.4
2281,2281-06-17,151,T,62.2,1.1,63.2,36.51,160.36,32.22,169.84,32.2..36.5,160.4..169.8
2935,2935-04-24,163,Tm,84.5,1.2,83.6,21.72,138.85,19.64,150.13,19.6..21.7,138.8..150.1
2489,2489-09-25,142,T,29.8,1.2,166.9,32.22,107.77,31.23,118.67,31.2..32.2,107.8..118.7
2295,2295-09-10,149,Tm,84.4,1.2,69.1,-10.06,166.50,-11.63,178.32,-11.6..-10.1,166.5..178.3
2835,2835-09-14,177,T,32.1,1.2,34.2,41.66,-109.40,40.36,-98.71,40.4..41.7,-109.4..-98.7
2113,2113-06-13,129,T,44.6,1.2,112.0,-29.19,-34.92,-32.79,-26.75,-32.8..-29.2,-34.9..-26.8
2804,2804-05-01,151,T,52.9,1.2,199.7,-10.43,-160.93,-12.76,-150.44,-12.8..-10.4,-160.9..-150.4
2443,2443-09-24,151,T,80.4,1.2,127.4,-27.13,-140.65,-27.42,-129.94,-27.4..-27.1,-140.7..-129.9
2238,2238-04-15,152,T,38.7,1.3,151.9,-33.18,11.28,-34.62,22.14,-34.6..-33.2,11.3..22.1
2768,2768-04-09,151,T,58.8,1.3,176.3,-2.39,83.13,-3.18,94.89,-3.2..-2.4,83.1..94.9
2471,2471-09-15,142,T,35.5,1.3,177.5,27.44,-134.01,25.62,-122.93,25.6..27.4,-134.0..-122.9
2947,2947-09-06,179,T,47.4,1.3,149.9,27.49,162.67,25.68,173.53,25.7..27.5,162.7..173.5
2941,2941-12-09,157,T,35.7,1.3,102.2,-51.89,-1.13,-48.96,4.66,-51.9..-49.0,-1.1..4.7
2817,2817-09-02,177,T,24.8,1.4,50.3,50.45,11.03,48.30,21.30,48.3..50.5,11.0..21.3
2931,2931-07-06,161,T,70.7,1.4,43.6,-13.91,-104.80,-18.16,-95.21,-18.2..-13.9,-104.8..-95.2
2158,2158-07-25,148,T,65.9,1.4,84.6,-35.98,-16.10,-39.63,-7.55,-39.6..-36.0,-16.1..-7.6
2681,2681-06-08,148,T,53.2,1.4,185.3,37.68,52.66,33.51,61.62,33.5..37.7,52.7..61.6
2291,2291-05-28,142,T,83.2,1.4,207.8,14.34,-87.15,10.21,-77.06,10.2..14.3,-87.2..-77.1
2193,2193-03-03,133,T,61.9,1.4,90.8,-2.23,34.55,0.09,46.07,-2.2..0.1,34.6..46.1
2987,2987-01-20,176,T,59.0,1.5,99.8,-27.20,-72.94,-23.18,-63.09,-27.2..-23.2,-72.9..-63.1
2558,2558-07-17,145,T,49.6,1.5,236.6,-37.40,-130.77,-40.83,-122.90,-40.8..-37.4,-130.8..-122.9
