year,date,saros,latitude,longitude,sun_alt,magnitude,central_duration
2185,2185-07-26,129,-67.87,-178.46,1.5,1.0370,02m27s
2582,2582-04-23,167,62.78,91.15,1.7,1.0462,02m17s
-891,-891-11-26,57,67.19,-89.55,1.8,1.0145,00m59s
1523,1523-08-11,108,62.67,-135.87,1.9,1.0558,02m44s
785,785-04-13,80,72.75,113.45,3.0,1.0317,01m40s
-1169,-1169-05-17,48,-67.09,-150.76,3.4,1.0601,03m46s
2373,2373-06-21,133,-62.67,-100.08,3.4,1.0191,01m24s
-1320,-1320-06-04,16,72.36,-18.00,4.2,1.0300,01m30s
-873,-873-12-07,57,63.53,125.29,4.3,1.0174,01m13s
1522,1522-03-27,131,62.01,127.73,4.3,1.0076,00m26s
1494,1494-03-07,102,71.26,-99.16,4.4,1.0368,02m06s
2734,2734-08-21,176,-59.40,89.83,4.9,1.0332,02m08s
-1179,-1179-05-07,19,-58.97,-138.65,4.9,1.0314,02m03s
-261,-261-12-21,47,-71.04,-56.49,5.0,1.0291,01m24s
2648,2648-09-09,145,-70.11,-79.12,5.1,1.0479,02m48s
1428,1428-10-09,134,-62.95,61.00,5.4,1.0281,01m30s
2543,2543-10-29,142,58.66,91.94,6.0,1.0316,02m02s
-868,-868-02-20,26,65.69,-21.48,6.1,1.0129,00m53s
-1461,-1461-07-03,13,-59.17,124.82,6.2,1.0252,01m52s
-855,-855-12-17,57,60.49,-17.19,6.2,1.0209,01m30s
-283,-283-04-02,73,61.07,-42.50,6.2,1.0166,00m59s
427,427-07-10,72,69.44,167.33,6.3,1.0180,00m55s
919,919-02-03,84,65.18,-78.87,6.4,1.0020,00m09s
-279,-279-12-09,47,-73.68,91.39,6.5,1.0293,01m25s
-1310,-1310-06-14,45,69.13,15.27,6.6,1.0593,02m48s
-1556,-1556-08-31,39,74.74,-51.10,7.2,1.0404,02m05s
-297,-297-11-29,47,-75.13,-117.33,7.2,1.0298,01m28s
246,246-04-03,62,72.48,-129.08,7.4,1.0553,02m59s
-315,-315-11-18,47,-75.58,35.47,7.4,1.0306,01m32s
832,832-04-04,81,-58.40,-56.12,7.5,1.0120,00m47s
267,267-09-06,97,73.15,-62.89,7.7,1.0472,02m32s
-1028,-1028-04-18,51,62.01,119.38,7.9,1.0591,03m08s
-1584,-1584-08-11,10,68.00,75.39,7.9,1.0164,00m51s
2560,2560-12-18,170,-73.58,-153.61,8.3,1.0185,00m55s
795,795-04-23,109,65.17,130.69,8.5,1.0587,02m58s
2611,2611-09-28,173,69.59,39.62,8.5,1.0280,01m42s
-333,-333-11-07,47,-75.81,-169.11,8.5,1.0321,01m39s
361,361-02-21,94,-74.31,-26.71,8.9,1.0394,02m07s
2912,2912-07-06,151,-58.54,176.04,9.0,1.0568,03m59s
-837,-837-12-29,57,56.76,-156.99,9.0,1.0249,01m50s
2195,2195-08-05,158,-56.08,166.45,9.2,1.0618,04m03s
-351,-351-10-27,47,-74.94,-13.05,9.9,1.0341,01m49s
-434,-434-04-21,41,-56.48,40.82,10.0,1.0556,03m29s
-1472,-1472-02-08,7,-68.62,-17.27,10.0,1.0401,02m01s
