rank,date,calendar_date,duration,duration_secs,magnitude,latitude,longitude
1,2186 Jul 16,Jul 16,7m29.20s,449.2,1.08046000,7.4N,46.5W
2,-743 Jun 15,Jun 15,7m27.50s,447.5,1.07915000,0.7S,48.8E
3,2168 Jul 5,Jul 5,7m26.00s,446.0,1.08074000,13.2N,66.4E
4,-761 Jun 5,Jun 5,7m25.50s,445.5,1.07967000,6.8S,163.3E
5,363 Jun 27,Jun 27,7m23.90s,443.9,1.08038000,12.7N,116.8W
6,381 Jul 8,Jul 8,7m22.00s,442.0,1.07879000,7.6N,129.4E
7,2204 Jul 27,Jul 27,7m22.00s,442.0,1.07927000,1.0N,160.1W
8,1062 Jun 9,Jun 9,7m20.40s,440.4,1.07810000,5.2S,170.2W
9,-725 Jun 26,Jun 26,7m18.50s,438.5,1.07774000,4.6N,65.5W
10,1080 Jun 20,Jun 20,7m17.90s,437.9,1.07792000,0.2S,76.9E
11,345 Jun 16,Jun 16,7m16.90s,436.9,1.08111000,17.0N,4.5W
12,699 Jun 3,Jun 3,7m16.50s,436.5,1.07922000,2.2S,31.3W
13,717 Jun 13,Jun 13,7m15.10s,435.1,1.07794000,6.5S,144.6W
14,132 Jun 1,Jun 1,7m14.30s,434.3,1.07749000,10.9N,53.3E
15,2150 Jun 25,Jun 25,7m14.00s,434.0,1.08021000,18.3N,178.1E
16,-407 May 22,May 22,7m12.60s,432.6,1.07792000,9.4N,125.5E
17,150 Jun 12,Jun 12,7m12.50s,432.5,1.07872000,16.5N,59.3W
18,2522 Jun 25,Jun 25,7m12.50s,432.5,1.07688000,6.6S,53.5E
19,1044 May 29,May 29,7m12.10s,432.1,1.07746000,11.1S,56.2W
20,-425 May 12,May 12,7m11.70s,431.7,1.07816000,2.4N,120.3W
21,-779 May 24,May 24,7m11.50s,431.5,1.07920000,13.9S,81.8W
22,2885 Jul 3,Jul 3,7m11.00s,431.0,1.07773000,0.1N,70.2W
23,399 Jul 19,Jul 19,7m10.70s,430.7,1.07643000,2.0N,13.9E
24,2504 Jun 14,Jun 14,7m10.10s,430.1,1.07686000,1.9S,167.3E
25,2867 Jun 23,Jun 23,7m09.80s,429.8,1.07657000,4.1S,43.0E
