day_of_year,count
204,17
39,15
72,15
229,15
177,15
209,15
143,15
133,14
176,14
198,14
220,14
232,14
192,14
225,14
182,14
194,13
90,13
124,13
155,13
146,13
106,13
107,13
242,13
68,13
163,13
164,12
112,12
103,12
125,12
74,12
116,12
137,12
148,12
118,12
254,12
161,12
318,12
246,12
6,12
111,12
165,12
322,12
97,12
150,12
297,12
130,12
121,12
186,12
94,12
300,11
50,11
216,11
207,11
83,11
136,11
30,11
281,11
303,11
199,11
96,11
159,11
34,11
180,11
172,11
213,11
203,11
78,11
340,11
235,11
361,11
122,11
27,11
174,11
171,11
46,11
69,11
236,11
187,11
168,11
84,11
210,11
75,11
275,11
329,11
251,11
81,10
101,10
62,10
218,10
259,10
135,10
147,10
85,10
200,10
241,10
357,10
211,10
253,10
22,10
12,10
285,10
45,10
307,10
56,10
183,10
109,10
131,10
100,10
152,10
17,10
49,10
102,10
196,10
237,10
269,10
115,10
347,10
158,10
119,10
265,10
89,10
214,10
215,10
247,10
325,10
344,10
366,10
153,9
278,9
80,9
185,9
353,9
8,9
144,9
250,9
41,9
188,9
52,9
63,9
167,9
189,9
231,9
127,9
244,9
170,9
160,9
296,9
286,9
87,9
224,9
120,9
257,9
268,9
154,9
61,9
226,9
248,9
228,9
134,9
239,9
260,9
291,9
128,9
3,9
149,9
191,9
339,9
18,9
140,9
79,9
362,9
279,9
233,9
175,8
290,8
92,8
238,8
9,8
51,8
156,8
292,8
272,8
335,8
86,8
221,8
2,8
222,8
138,8
263,8
24,8
264,8
202,8
181,8
57,8
328,8
99,8
350,8
142,8
173,8
287,8
205,8
91,8
195,8
93,8
21,8
282,8
313,8
43,8
304,8
14,8
276,8
25,8
334,8
356,8
308,8
351,8
141,8
258,8
28,8
301,8
312,8
208,8
273,8
190,8
59,7
364,7
114,7
20,7
240,7
271,7
166,7
157,7
64,7
53,7
324,7
105,7
274,7
139,7
35,7
66,7
359,7
266,7
132,7
36,7
113,7
217,7
365,7
270,7
126,7
32,7
315,7
65,7
55,7
98,7
88,7
193,7
319,7
256,7
40,7
219,7
243,7
348,7
309,6
71,6
206,6
331,6
197,6
227,6
82,6
104,6
262,6
31,6
73,6
179,6
346,6
336,6
11,6
358,6
13,6
129,6
151,6
110,6
58,6
70,6
311,6
333,6
343,6
293,6
326,6
76,6
337,6
23,6
223,6
341,6
289,6
42,6
169,6
252,6
117,6
108,6
162,6
37,6
261,6
283,6
294,6
47,6
342,5
332,5
95,5
314,5
33,5
54,5
4,5
255,5
15,5
320,5
355,5
330,5
352,5
267,5
363,5
145,5
10,5
302,5
178,5
317,5
16,5
323,5
316,5
1,5
29,4
184,4
299,4
321,4
310,4
249,4
354,4
44,4
306,4
67,4
38,4
288,4
19,4
284,4
5,4
201,4
338,4
298,4
280,4
230,4
295,4
48,3
123,3
77,3
349,3
26,3
277,3
245,3
212,3
345,3
234,3
60,2
7,2
360,2
305,2
327,2
