rank,day_of_year,month_day,count
1,203,Jul 22,17
2,176,Jun 25,16
3,142,May 22,16
4,39,Feb 8,15
5,71,Mar 12,15
6,228,Aug 16,15
7,197,Jul 16,15
8,208,Jul 27,15
9,219,Aug 7,15
10,132,May 12,14
11,123,May 3,14
12,145,May 25,14
13,175,Jun 24,14
14,231,Aug 19,14
15,191,Jul 10,14
16,224,Aug 12,14
17,181,Jun 30,14
18,163,Jun 12,13
19,193,Jul 12,13
20,89,Mar 30,13
21,217,Aug 5,13
22,154,Jun 3,13
23,105,Apr 15,13
24,117,Apr 27,13
25,106,Apr 16,13
26,241,Aug 29,13
27,253,Sep 10,13
28,160,Jun 9,13
29,67,Mar 8,13
30,110,Apr 20,13
31,162,Jun 11,13
32,164,Jun 13,13
33,96,Apr 6,13
34,296,Oct 23,13
35,185,Jul 4,13
36,93,Apr 3,13
37,50,Feb 19,12
38,215,Aug 3,12
39,111,Apr 21,12
40,102,Apr 12,12
41,206,Jul 25,12
42,135,May 15,12
43,124,May 4,12
44,302,Oct 29,12
45,73,Mar 14,12
46,115,Apr 25,12
47,136,May 16,12
48,147,May 27,12
49,306,Nov 2,12
50,317,Nov 13,12
51,171,Jun 20,12
52,202,Jul 21,12
53,99,Apr 9,12
54,245,Sep 2,12
55,6,Jan 6,12
56,151,May 31,12
57,173,Jun 22,12
58,321,Nov 17,12
59,114,Apr 24,12
60,149,May 29,12
61,129,May 9,12
62,120,Apr 30,12
63,74,Mar 15,12
64,299,Oct 26,11
65,100,Apr 10,11
66,82,Mar 23,11
67,30,Jan 30,11
68,280,Oct 7,11
69,187,Jul 6,11
70,198,Jul 17,11
71,84,Mar 25,11
72,95,Apr 5,11
73,199,Jul 18,11
74,240,Aug 28,11
75,252,Sep 9,11
76,158,Jun 7,11
77,34,Feb 3,11
78,179,Jun 28,11
79,56,Feb 25,11
80,212,Jul 31,11
81,77,Mar 18,11
82,108,Apr 18,11
83,339,Dec 5,11
84,130,May 10,11
85,234,Aug 22,11
86,360,Dec 26,11
87,121,May 1,11
88,27,Jan 27,11
89,60,Mar 1,11
