efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
9,Feb 29,2,5m07.10s,307.10,10m14.20s,614.20,362,349,353
2,Jul 19,4,5m32.03s,332.03,22m08.10s,1328.10,331,265,329
36,Aug 17,4,4m36.35s,276.35,18m25.40s,1105.40,331,296,295
71,Jul 30,3,4m17.53s,257.53,12m52.60s,772.60,352,333,281
99,Oct 31,2,4m04.60s,244.60,8m09.20s,489.20,362,359,263
5,Jun 27,6,5m18.43s,318.43,31m50.60s,1910.60,263,156,258
8,Jul 15,6,5m09.67s,309.67,30m58.00s,1858.00,263,166,255
61,Jun 26,5,4m21.54s,261.54,21m47.70s,1307.70,307,268,246
90,Jul 2,4,4m08.07s,248.07,16m32.30s,992.30,331,309,241
23,May 30,6,4m47.07s,287.07,28m42.40s,1722.40,263,186,240
24,May 8,6,4m46.58s,286.58,28m39.50s,1719.50,263,187,239
31,Aug 10,6,4m39.87s,279.87,27m59.20s,1679.20,263,198,232
1,May 18,7,5m43.11s,343.11,40m01.80s,2401.80,225,85,224
4,Jul 11,7,5m19.61s,319.61,37m17.30s,2237.30,225,106,221
47,Apr 13,6,4m28.22s,268.22,26m49.30s,1609.30,263,209,216
10,Jun 5,7,5m05.66s,305.66,35m39.60s,2139.60,225,118,215
53,Jun 10,6,4m25.72s,265.72,26m34.30s,1594.30,263,211,210
98,May 24,5,4m04.86s,244.86,20m24.30s,1224.30,307,279,209
20,Apr 23,7,4m49.30s,289.30,33m45.10s,2025.10,225,138,205
60,Jul 24,6,4m22.07s,262.07,26m12.40s,1572.40,263,214,203
62,Mar 11,6,4m21.37s,261.37,26m08.20s,1568.20,263,215,201
154,Sep 1,3,3m42.70s,222.70,11m08.10s,668.10,352,346,198
30,Aug 4,7,4m40.79s,280.79,32m45.50s,1965.50,225,145,195
70,Mar 22,6,4m17.58s,257.58,25m45.50s,1545.50,263,220,193
82,Apr 17,6,4m13.13s,253.13,25m18.80s,1518.80,263,229,181
