efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
1,May 18,7,5m43.11s,343.11,40m01.80s,2401.80,225,85,224
2,Jul 19,4,5m32.03s,332.03,22m08.10s,1328.10,331,265,329
3,Jul 3,9,5m29.90s,329.90,49m29.10s,2969.10,128,41,125
4,Jul 11,7,5m19.61s,319.61,37m17.30s,2237.30,225,106,221
5,Jun 27,6,5m18.43s,318.43,31m50.60s,1910.60,263,156,258
6,Jun 9,12,5m14.62s,314.62,62m55.40s,3775.40,26,7,20
7,May 7,9,5m13.44s,313.44,47m01.00s,2821.00,128,54,121
8,Jul 15,6,5m09.67s,309.67,30m58.00s,1858.00,263,166,255
9,Feb 29,2,5m07.10s,307.10,10m14.20s,614.20,362,349,353
10,Jun 5,7,5m05.66s,305.66,35m39.60s,2139.60,225,118,215
11,May 29,12,5m04.65s,304.65,60m55.80s,3655.80,26,10,15
12,Jun 30,14,5m01.72s,301.72,70m24.10s,4224.10,8,2,-4
13,Jun 15,9,5m00.97s,300.97,45m08.70s,2708.70,128,63,115
14,Jun 20,11,4m56.88s,296.88,54m25.70s,3265.70,50,20,36
15,Jul 25,11,4m55.67s,295.67,54m12.40s,3252.40,50,21,35
16,Jun 23,8,4m54.93s,294.93,39m19.40s,2359.40,174,93,158
17,Aug 2,10,4m51.04s,291.04,48m30.40s,2910.40,86,45,69
18,Jun 16,11,4m49.60s,289.60,53m05.60s,3185.60,50,27,32
19,Jun 2,9,4m49.43s,289.43,43m24.90s,2604.90,128,66,109
20,Apr 23,7,4m49.30s,289.30,33m45.10s,2025.10,225,138,205
21,Jul 21,11,4m48.96s,288.96,52m58.60s,3178.60,50,28,29
22,Apr 9,10,4m48.22s,288.22,48m02.20s,2882.20,86,48,64
23,May 30,6,4m47.07s,287.07,28m42.40s,1722.40,263,186,240
24,May 8,6,4m46.58s,286.58,28m39.50s,1719.50,263,187,239
25,Aug 12,14,4m43.25s,283.25,66m05.50s,3965.50,8,6,-17
26,Jul 8,8,4m42.61s,282.61,37m40.90s,2260.90,174,105,148
27,Jun 8,9,4m42.09s,282.09,42m18.80s,2538.80,128,73,101
28,Jun 12,12,4m41.78s,281.78,56m21.40s,3381.40,26,14,-2
29,May 19,9,4m41.44s,281.44,42m13.00s,2533.00,128,74,99
30,Aug 4,7,4m40.79s,280.79,32m45.50s,1965.50,225,145,195
31,Aug 10,6,4m39.87s,279.87,27m59.20s,1679.20,263,198,232
32,May 22,15,4m39.68s,279.68,69m55.20s,4195.20,2,3,-30
33,Jul 5,11,4m38.25s,278.25,51m00.80s,3060.80,50,34,17
34,May 23,9,4m37.91s,277.91,41m41.20s,2501.20,128,77,94
35,Jul 14,10,4m36.50s,276.50,46m05.00s,2765.00,86,58,51
36,Aug 17,4,4m36.35s,276.35,18m25.40s,1105.40,331,296,295
37,Jul 1,10,4m36.15s,276.15,46m01.50s,2761.50,86,59,49
38,Jul 4,12,4m36.08s,276.08,55m13.00s,3313.00,26,17,-12
39,Jun 19,11,4m34.96s,274.96,50m24.60s,3024.60,50,38,11
40,Jun 3,13,4m34.65s,274.65,59m30.40s,3570.40,16,11,-24
41,May 1,11,4m32.45s,272.45,49m57.00s,2997.00,50,39,9
42,Jun 25,15,4m31.32s,271.32,67m49.80s,4069.80,2,4,-40
43,May 28,9,4m30.83s,270.83,40m37.50s,2437.50,128,79,85
44,Aug 22,11,4m30.75s,270.75,49m38.20s,2978.20,50,40,6
45,Apr 25,12,4m29.62s,269.62,53m55.50s,3235.50,26,23,-19
46,Aug 6,7,4m28.74s,268.74,31m21.20s,1881.20,225,161,179
47,Apr 13,6,4m28.22s,268.22,26m49.30s,1609.30,263,209,216
48,Jul 27,15,4m27.93s,267.93,66m59.00s,4019.00,2,5,-46
49,Jul 7,9,4m27.24s,267.24,40m05.20s,2405.20,128,84,79
50,Jul 31,11,4m26.49s,266.49,48m51.40s,2931.40,50,43,0
51,Apr 30,12,4m26.48s,266.48,53m17.70s,3197.70,26,25,-25
52,Jun 1,9,4m26.39s,266.39,39m57.50s,2397.50,128,86,76
53,Jun 10,6,4m25.72s,265.72,26m34.30s,1594.30,263,211,210
54,May 21,8,4m24.70s,264.70,35m17.60s,2117.60,174,121,120
55,Jul 13,8,4m24.69s,264.69,35m17.50s,2117.50,174,122,119
56,Jun 13,12,4m24.11s,264.11,52m49.30s,3169.30,26,29,-30
57,Jun 22,11,4m23.36s,263.36,48m17.00s,2897.00,50,47,-7
58,May 25,13,4m23.30s,263.30,57m02.90s,3422.90,16,13,-42
59,May 12,14,4m23.13s,263.13,61m23.80s,3683.80,8,9,-51
60,Jul 24,6,4m22.07s,262.07,26m12.40s,1572.40,263,214,203
61,Jun 26,5,4m21.54s,261.54,21m47.70s,1307.70,307,268,246
62,Mar 11,6,4m21.37s,261.37,26m08.20s,1568.20,263,215,201
63,Jun 14,7,4m21.33s,261.33,30m29.30s,1829.30,225,170,162
64,Apr 20,12,4m20.41s,260.41,52m04.90s,3124.90,26,32,-38
65,May 13,9,4m20.34s,260.34,39m03.10s,2343.10,128,94,63
66,Jul 26,8,4m20.20s,260.20,34m41.60s,2081.60,174,129,108
67,Jul 29,10,4m19.04s,259.04,43m10.40s,2590.40,86,67,19
68,Mar 18,11,4m18.56s,258.56,47m24.20s,2844.20,50,51,-18
69,Aug 26,9,4m18.18s,258.18,38m43.60s,2323.60,128,98,59
