efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
1,May 18,7,5m43.11s,343.11,40m01.80s,2401.80,225,85,224
2,Jul 19,4,5m32.03s,332.03,22m08.10s,1328.10,331,265,329
3,Jul 3,9,5m29.90s,329.90,49m29.10s,2969.10,128,41,125
4,Jul 11,7,5m19.61s,319.61,37m17.30s,2237.30,225,106,221
5,Jun 27,6,5m18.43s,318.43,31m50.60s,1910.60,263,156,258
6,Jun 9,12,5m14.62s,314.62,62m55.40s,3775.40,26,7,20
7,May 7,9,5m13.44s,313.44,47m01.00s,2821.00,128,54,121
8,Jul 15,6,5m09.67s,309.67,30m58.00s,1858.00,263,166,255
9,Feb 29,2,5m07.10s,307.10,10m14.20s,614.20,362,349,353
10,Jun 5,7,5m05.66s,305.66,35m39.60s,2139.60,225,118,215
11,May 29,12,5m04.65s,304.65,60m55.80s,3655.80,26,10,15
12,Jun 30,14,5m01.72s,301.72,70m24.10s,4224.10,8,2,-4
13,Jun 15,9,5m00.97s,300.97,45m08.70s,2708.70,128,63,115
14,Jun 20,11,4m56.88s,296.88,54m25.70s,3265.70,50,20,36
15,Jul 25,11,4m55.67s,295.67,54m12.40s,3252.40,50,21,35
16,Jun 23,8,4m54.93s,294.93,39m19.40s,2359.40,174,93,158
17,Aug 2,10,4m51.04s,291.04,48m30.40s,2910.40,86,45,69
18,Jun 16,11,4m49.60s,289.60,53m05.60s,3185.60,50,27,32
19,Jun 2,9,4m49.43s,289.43,43m24.90s,2604.90,128,66,109
20,Apr 23,7,4m49.30s,289.30,33m45.10s,2025.10,225,138,205
21,Jul 21,11,4m48.96s,288.96,52m58.60s,3178.60,50,28,29
22,Apr 9,10,4m48.22s,288.22,48m02.20s,2882.20,86,48,64
23,May 30,6,4m47.07s,287.07,28m42.40s,1722.40,263,186,240
24,May 8,6,4m46.58s,286.58,28m39.50s,1719.50,263,187,239
25,Aug 12,14,4m43.25s,283.25,66m05.50s,3965.50,8,6,-17
