efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
290,Feb 8,15,2m59.54s,179.54,44m53.10s,2693.10,2,64,-288
309,Oct 23,12,2m53.52s,173.52,34m42.20s,2082.20,26,128,-283
329,Feb 3,11,2m42.18s,162.18,29m44.00s,1784.00,50,179,-279
322,Oct 29,11,2m46.91s,166.91,30m36.00s,1836.00,50,169,-272
319,Dec 5,11,2m48.60s,168.60,30m54.60s,1854.60,50,167,-269
311,Jan 30,11,2m53.42s,173.42,31m47.60s,1907.60,50,159,-261
342,Dec 22,10,2m35.69s,155.69,25m56.90s,1556.90,86,216,-256
304,Aug 3,11,2m55.71s,175.71,32m12.80s,1932.80,50,153,-254
327,Jan 12,10,2m44.15s,164.15,27m21.50s,1641.50,86,205,-241
291,Nov 24,11,2m58.48s,178.48,32m43.30s,1963.30,50,146,-241
289,Oct 7,11,2m59.55s,179.55,32m55.00s,1975.00,50,143,-239
320,Nov 2,10,2m47.25s,167.25,27m52.50s,1672.50,86,199,-234
245,Nov 13,12,3m14.12s,194.12,38m49.40s,2329.40,26,97,-219
243,Jan 6,12,3m14.40s,194.40,38m52.80s,2332.80,26,95,-217
303,Nov 20,10,2m56.20s,176.20,29m22.00s,1762.00,86,184,-217
301,Dec 31,10,2m56.69s,176.69,29m26.90s,1766.90,86,183,-215
263,Feb 15,11,3m08.15s,188.15,34m29.60s,2069.60,50,131,-213
339,Jan 8,9,2m36.92s,156.92,23m32.30s,1412.30,128,253,-211
336,Dec 18,9,2m37.82s,157.82,23m40.40s,1420.40,128,252,-208
286,Jan 22,10,3m00.39s,180.39,30m03.90s,1803.90,86,173,-200
250,Dec 26,11,3m12.34s,192.34,35m15.70s,2115.70,50,123,-200
207,Aug 19,14,3m25.77s,205.77,48m00.80s,2880.80,8,49,-199
283,Dec 12,10,3m01.86s,181.86,30m18.60s,1818.60,86,172,-197
218,Sep 10,12,3m19.58s,199.58,39m54.90s,2394.90,26,88,-192
318,Mar 3,9,2m48.89s,168.89,25m20.00s,1520.00,128,228,-190
