month_day,count
Jul 22,17
Feb 8,15
Mar 12,15
Aug 16,15
Jun 25,15
Jul 27,15
May 22,15
May 12,14
Jun 24,14
Jul 16,14
Aug 7,14
Aug 19,14
Jul 10,14
Aug 12,14
Jun 30,14
Jul 12,13
Mar 30,13
May 3,13
Jun 3,13
May 25,13
Apr 15,13
Apr 16,13
Aug 29,13
Mar 8,13
Jun 11,13
Jun 12,12
Apr 21,12
Apr 12,12
May 4,12
Mar 14,12
Apr 25,12
May 16,12
May 27,12
Apr 27,12
Sep 10,12
Jun 9,12
Nov 13,12
Sep 2,12
Jan 6,12
Apr 20,12
Jun 13,12
Nov 17,12
Apr 6,12
May 29,12
Oct 23,12
May 9,12
Apr 30,12
Jul 4,12
Apr 3,12
Oct 26,11
Feb 19,11
Aug 3,11
Jul 25,11
Mar 23,11
May 15,11
Jan 30,11
Oct 7,11
Oct 29,11
Jul 17,11
Apr 5,11
Jun 7,11
Feb 3,11
Jun 28,11
Jun 20,11
Jul 31,11
Jul 21,11
Mar 18,11
Dec 5,11
Aug 22,11
Dec 26,11
May 1,11
Jan 27,11
Jun 22,11
Jun 19,11
Feb 15,11
Mar 9,11
Aug 23,11
Jul 5,11
Jun 16,11
Mar 24,11
Jul 28,11
Mar 15,11
Oct 1,11
Nov 24,11
Sep 7,11
Mar 21,10
Apr 10,10
Mar 2,10
Aug 5,10
Sep 15,10
May 14,10
May 26,10
Mar 25,10
Jul 18,10
Aug 28,10
Dec 22,10
Jul 29,10
Sep 9,10
Jan 22,10
Jan 12,10
Oct 11,10
Feb 14,10
Nov 2,10
Feb 25,10
Jul 1,10
Apr 18,10
May 10,10
Apr 9,10
May 31,10
Jan 17,10
Feb 18,10
Apr 11,10
Jul 14,10
Aug 24,10
Sep 25,10
Apr 24,10
Dec 12,10
Jun 6,10
Apr 28,10
Sep 21,10
Mar 29,10
Aug 1,10
Aug 2,10
Sep 3,10
Nov 20,10
Dec 9,10
Dec 31,10
Jun 1,9
Oct 4,9
Mar 20,9
Jul 3,9
Dec 18,9
Jan 8,9
May 23,9
Sep 6,9
Feb 10,9
Jul 6,9
Feb 21,9
Mar 3,9
Jun 15,9
Jul 7,9
Aug 18,9
May 6,9
Aug 31,9
Jun 18,9
Jun 8,9
Oct 22,9
Oct 12,9
Mar 27,9
Aug 11,9
Apr 29,9
Sep 13,9
Sep 24,9
Jun 2,9
Mar 1,9
Aug 13,9
Sep 4,9
Aug 15,9
May 13,9
Aug 26,9
Sep 16,9
Oct 17,9
May 7,9
Jan 3,9
May 28,9
Jul 9,9
Dec 4,9
Jan 18,9
May 19,9
Mar 19,9
Dec 27,9
Oct 5,9
Aug 20,9
Jun 23,8
Oct 16,8
Apr 1,8
Aug 25,8
Jan 9,8
Feb 20,8
Jun 4,8
Oct 18,8
Sep 28,8
Nov 30,8
Mar 26,8
Aug 8,8
Jan 2,8
Aug 9,8
May 17,8
Sep 19,8
Jan 24,8
Sep 20,8
Jul 20,8
Jun 29,8
Feb 26,8
Nov 23,8
Apr 8,8
Dec 15,8
May 21,8
Jun 21,8
Oct 13,8
Jul 23,8
Mar 31,8
Jul 13,8
Apr 2,8
Jan 21,8
Oct 8,8
Nov 8,8
Feb 12,8
Oct 30,8
Jan 14,8
Oct 2,8
Jan 25,8
Nov 29,8
Dec 21,8
Nov 3,8
Dec 16,8
May 20,8
Sep 14,8
Jan 28,8
Oct 27,8
Nov 7,8
Jul 26,8
Sep 29,8
Jul 8,8
Feb 28,7
Dec 29,7
Apr 23,7
Jan 20,7
Aug 27,7
Sep 27,7
Jun 14,7
Jun 5,7
Mar 4,7
Feb 22,7
Nov 19,7
Apr 14,7
Sep 30,7
May 18,7
Feb 4,7
Mar 6,7
Dec 24,7
Sep 22,7
May 11,7
Feb 5,7
Apr 22,7
Aug 4,7
Dec 30,7
Sep 26,7
May 5,7
Feb 1,7
Nov 10,7
Mar 5,7
Feb 24,7
Apr 7,7
Mar 28,7
Jul 11,7
Nov 14,7
Sep 12,7
Feb 9,7
Aug 6,7
Aug 30,7
Dec 13,7
Nov 4,6
Mar 11,6
Jul 24,6
Nov 26,6
Jul 15,6
Aug 14,6
Mar 22,6
Apr 13,6
Sep 18,6
Jan 31,6
Mar 13,6
Jun 27,6
Dec 11,6
Dec 1,6
Jan 11,6
Dec 23,6
Jan 13,6
May 8,6
May 30,6
Apr 19,6
Feb 27,6
Mar 10,6
Nov 6,6
Nov 28,6
Dec 8,6
Oct 19,6
Nov 21,6
Mar 16,6
Dec 2,6
Jan 23,6
Aug 10,6
Dec 6,6
Oct 15,6
Feb 11,6
Jun 17,6
Sep 8,6
Apr 26,6
Apr 17,6
Jun 10,6
Feb 6,6
Sep 17,6
Oct 9,6
Oct 20,6
Feb 16,6
Dec 7,5
Nov 27,5
Apr 4,5
Nov 9,5
Feb 2,5
Feb 23,5
Jan 4,5
Sep 11,5
Jan 15,5
Nov 15,5
Dec 20,5
Nov 25,5
Dec 17,5
Sep 23,5
Dec 28,5
May 24,5
Jan 10,5
Oct 28,5
Jun 26,5
Nov 12,5
Jan 16,5
Nov 18,5
Nov 11,5
Jan 1,5
Jan 29,4
Jul 2,4
Oct 25,4
Nov 16,4
Nov 5,4
Sep 5,4
Dec 19,4
Feb 13,4
Nov 1,4
Mar 7,4
Feb 7,4
Oct 14,4
Jan 19,4
Oct 10,4
Jan 5,4
Jul 19,4
Dec 3,4
Oct 24,4
Oct 6,4
Aug 17,4
Oct 21,4
Feb 17,3
May 2,3
Mar 17,3
Dec 14,3
Jan 26,3
Oct 3,3
Sep 1,3
Jul 30,3
Dec 10,3
Aug 21,3
Feb 29,2
Jan 7,2
Dec 25,2
Oct 31,2
Nov 22,2
