rank,month_day,count
1,Jul 22,17
2,Jun 25,16
3,May 22,16
4,Feb 8,15
5,Mar 12,15
6,Aug 16,15
7,Jul 16,15
8,Jul 27,15
9,Aug 7,15
10,May 12,14
11,May 3,14
12,May 25,14
13,Jun 24,14
14,Aug 19,14
15,Jul 10,14
16,Aug 12,14
17,Jun 30,14
18,Jun 12,13
19,Jul 12,13
20,Mar 30,13
21,Aug 5,13
22,Jun 3,13
23,Apr 15,13
24,Apr 27,13
25,Apr 16,13
26,Aug 29,13
27,Sep 10,13
28,Jun 9,13
29,Mar 8,13
30,Apr 20,13
31,Jun 11,13
32,Jun 13,13
33,Apr 6,13
34,Oct 23,13
35,Jul 4,13
36,Apr 3,13
37,Feb 19,12
38,Aug 3,12
39,Apr 21,12
40,Apr 12,12
41,Jul 25,12
42,May 15,12
43,May 4,12
44,Oct 29,12
45,Mar 14,12
46,Apr 25,12
47,May 16,12
48,May 27,12
49,Nov 2,12
50,Nov 13,12
51,Jun 20,12
52,Jul 21,12
53,Apr 9,12
54,Sep 2,12
55,Jan 6,12
56,May 31,12
57,Jun 22,12
58,Nov 17,12
59,Apr 24,12
60,May 29,12
61,May 9,12
62,Apr 30,12
63,Mar 15,12
64,Oct 26,11
65,Apr 10,11
66,Mar 23,11
67,Jan 30,11
68,Oct 7,11
69,Jul 6,11
70,Jul 17,11
71,Mar 25,11
72,Apr 5,11
73,Jul 18,11
74,Aug 28,11
75,Sep 9,11
76,Jun 7,11
77,Feb 3,11
78,Jun 28,11
79,Feb 25,11
80,Jul 31,11
81,Mar 18,11
82,Apr 18,11
83,Dec 5,11
84,May 10,11
85,Aug 22,11
86,Dec 26,11
87,May 1,11
88,Jan 27,11
89,Aug 24,11
90,Sep 25,11
91,Jun 6,11
92,Jun 19,11
93,Feb 15,11
94,Mar 9,11
95,Aug 1,11
96,Aug 23,11
97,Jul 5,11
98,Jun 16,11
99,Mar 24,11
100,Jul 28,11
101,Oct 1,11
102,May 19,11
103,Nov 24,11
104,Dec 9,11
105,Dec 31,11
106,Sep 7,11
107,Jun 1,10
108,Oct 4,10
109,Mar 21,10
110,Jul 3,10
111,Mar 2,10
112,Jan 8,10
113,Sep 15,10
114,Sep 6,10
115,May 14,10
116,Feb 21,10
117,May 26,10
118,Aug 18,10
119,Dec 22,10
120,Jul 29,10
121,Jan 22,10
122,May 17,10
123,Jan 12,10
124,Aug 31,10
125,Jun 8,10
126,Oct 11,10
127,Oct 22,10
128,Feb 14,10
129,Jul 1,10
130,Aug 11,10
131,Apr 29,10
132,Sep 13,10
133,Jan 17,10
134,Feb 18,10
135,Aug 13,10
136,Apr 11,10
137,Jul 14,10
138,Aug 15,10
139,Dec 21,10
140,May 7,10
141,Dec 12,10
142,Apr 28,10
143,May 28,10
144,Sep 21,10
145,Jul 9,10
146,Mar 29,10
147,Aug 2,10
148,Sep 3,10
149,Jul 26,10
150,Nov 20,10
151,Mar 19,10
152,Mar 20,9
153,Apr 1,9
154,Dec 18,9
155,Apr 23,9
156,May 23,9
157,Jun 4,9
158,Feb 10,9
159,Mar 3,9
160,Jun 15,9
161,Jul 7,9
162,May 6,9
163,Aug 9,9
164,Jun 18,9
165,Jun 29,9
166,Oct 12,9
167,Jul 20,9
168,Mar 27,9
169,Jun 21,9
170,Sep 24,9
171,Jun 2,9
172,Mar 1,9
173,Sep 4,9
174,May 13,9
175,Aug 26,9
176,Sep 16,9
177,Oct 17,9
178,Feb 12,9
179,Jan 3,9
180,Jul 11,9
181,Dec 4,9
182,Jan 18,9
183,Dec 16,9
184,Dec 27,9
185,Oct 5,9
186,Jul 8,9
187,Aug 20,9
188,Feb 28,8
189,Jun 23,8
190,Oct 16,8
191,Aug 25,8
192,Jan 9,8
193,Feb 20,8
194,Jun 14,8
195,Oct 18,8
196,Sep 28,8
197,Nov 30,8
198,Mar 26,8
199,Aug 8,8
200,Jan 2,8
201,Sep 19,8
202,Sep 30,8
203,Jan 24,8
204,Sep 20,8
205,Feb 26,8
206,Nov 23,8
207,Apr 8,8
208,Dec 15,8
209,May 21,8
210,May 11,8
211,Feb 5,8
212,Oct 13,8
213,Jul 23,8
214,Mar 31,8
215,Jul 13,8
216,Apr 2,8
217,Jan 21,8
218,Oct 8,8
219,Nov 8,8
220,Oct 30,8
221,Jan 14,8
222,Oct 2,8
223,Jan 25,8
224,Sep 12,8
225,Nov 29,8
226,Aug 30,8
227,Nov 3,8
228,May 20,8
229,Sep 14,8
230,Jan 28,8
231,Oct 27,8
232,Nov 7,8
233,Sep 29,8
234,Nov 26,7
235,Dec 29,7
236,Apr 13,7
237,Jan 20,7
238,Aug 27,7
239,Sep 27,7
240,Jun 5,7
241,Mar 4,7
242,Feb 22,7
243,Nov 19,7
244,Apr 14,7
245,May 8,7
246,May 18,7
247,Feb 4,7
248,Mar 6,7
249,Dec 24,7
250,Sep 22,7
251,Feb 27,7
252,Nov 15,7
253,Mar 10,7
254,Apr 22,7
255,Aug 4,7
256,Dec 8,7
257,Dec 30,7
258,Sep 26,7
259,May 5,7
260,Feb 1,7
261,Nov 10,7
262,Mar 5,7
263,Dec 2,7
264,Feb 24,7
265,Apr 7,7
266,Mar 28,7
267,Nov 14,7
268,Feb 9,7
269,Aug 6,7
270,Jun 17,7
271,Apr 26,7
272,Sep 8,7
273,Oct 9,7
274,Dec 13,7
275,Nov 4,6
276,Mar 11,6
277,Jul 24,6
278,Jul 15,6
279,Aug 14,6
280,Dec 7,6
281,Mar 22,6
282,Sep 18,6
283,Jan 31,6
284,Mar 13,6
285,Nov 9,6
286,Jun 27,6
287,Dec 11,6
288,Dec 1,6
289,Jan 11,6
290,Dec 23,6
291,Jan 13,6
292,Feb 23,6
293,May 30,6
294,Apr 19,6
295,Nov 6,6
296,Nov 28,6
297,Oct 19,6
298,Nov 21,6
299,Mar 16,6
300,Jan 23,6
301,Mar 7,6
302,Aug 10,6
303,Dec 6,6
304,Oct 15,6
305,May 24,6
