rank,century,eclipse_count,avg_duration_secs
1,3rd CE,67,205.3
2,20th CE,67,210.9
3,21st CE,67,210.0
4,5th CE,66,218.5
5,10th CE,65,229.9
6,23rd CE,65,228.1
7,14th BCE,64,228.0
8,6th BCE,64,223.0
9,4th CE,64,219.0
10,6th CE,64,219.9
11,7th CE,64,224.0
12,11th BCE,63,234.6
13,1st BCE,63,206.1
14,24th CE,63,224.1
15,25th CE,63,216.9
16,19th BCE,62,205.5
17,13th BCE,62,221.1
18,9th BCE,62,227.1
19,8th BCE,62,240.6
20,5th BCE,62,236.4
21,2nd BCE,62,209.0
22,2nd CE,62,212.8
23,8th CE,62,226.2
24,19th CE,62,208.6
25,22nd CE,62,216.9
26,28th CE,62,236.9
27,18th BCE,61,204.8
28,27th CE,61,222.3
29,30th CE,61,214.7
30,20th BCE,60,220.9
31,12th BCE,60,231.0
32,9th CE,60,209.1
33,16th CE,60,209.8
34,18th CE,60,211.5
35,16th BCE,59,212.0
36,15th BCE,59,219.7
37,7th BCE,59,219.6
38,11th CE,59,243.3
39,13th CE,59,239.9
40,17th CE,59,228.4
41,26th CE,59,228.7
42,29th CE,59,235.8
43,17th BCE,58,223.7
44,12th CE,57,217.4
45,15th CE,57,208.1
46,10th BCE,56,227.1
47,1st CE,56,225.1
48,4th BCE,54,224.6
49,14th CE,53,250.6
50,3rd BCE,52,229.9
